date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2014-06-22 23:00:00,1.00903,1.0133,1.00967,1.00886,1.00931,1.01357,1.00995,1.00915,994
2014-06-23 01:00:00,1.00924,1.01229,1.014,1.00898,1.00954,1.01258,1.01429,1.00927,8464
2014-06-23 03:00:00,1.01229,1.01268,1.01276,1.01172,1.01258,1.01297,1.01306,1.01203,2747
2014-06-23 05:00:00,1.01268,1.01265,1.01338,1.01231,1.01297,1.01293,1.01367,1.0126,5952
2014-06-23 07:00:00,1.01265,1.01182,1.01273,1.01135,1.01293,1.01208,1.013,1.01165,7408
2014-06-23 09:00:00,1.01182,1.01332,1.01356,1.01172,1.01208,1.01358,1.01383,1.01201,4967
2014-06-23 11:00:00,1.01332,1.01334,1.01375,1.01258,1.01358,1.01363,1.01403,1.01287,7484
2014-06-23 13:00:00,1.01334,1.01141,1.01334,1.01096,1.01363,1.01167,1.01364,1.01124,8239
2014-06-23 15:00:00,1.01141,1.01045,1.01154,1.00988,1.01167,1.01073,1.01179,1.01016,5820
2014-06-23 17:00:00,1.01045,1.0099,1.01079,1.00978,1.01073,1.01019,1.01109,1.01008,3586
2014-06-23 19:00:00,1.0099,1.01064,1.0107,1.00983,1.01019,1.0117,1.01202,1.01012,2403
2014-06-23 21:00:00,1.01064,1.01124,1.01145,1.01018,1.0117,1.01156,1.01179,1.01076,1520
2014-06-23 23:00:00,1.01124,1.01094,1.01142,1.01062,1.01156,1.01123,1.01172,1.01092,2405
2014-06-24 01:00:00,1.01094,1.01064,1.01166,1.0103,1.01123,1.01092,1.01192,1.01058,3145
2014-06-24 03:00:00,1.01064,1.0104,1.01067,1.01002,1.01092,1.01067,1.01092,1.01029,2492
2014-06-24 05:00:00,1.0104,1.00854,1.01067,1.00797,1.01067,1.00883,1.01096,1.00826,5869
2014-06-24 07:00:00,1.00854,1.00767,1.00866,1.00732,1.00883,1.00795,1.00889,1.00762,7371
2014-06-24 09:00:00,1.00767,1.00811,1.0086,1.00713,1.00795,1.00839,1.00886,1.00742,5698
2014-06-24 11:00:00,1.00811,1.00764,1.00912,1.00764,1.00839,1.00794,1.00939,1.00787,5983
2014-06-24 13:00:00,1.00764,1.00728,1.00774,1.00643,1.00794,1.00753,1.00798,1.00663,10324
2014-06-24 15:00:00,1.00728,1.0073,1.00757,1.00624,1.00753,1.00758,1.00783,1.00652,5929
2014-06-24 17:00:00,1.0073,1.0072,1.0079,1.00675,1.00758,1.00749,1.00818,1.00703,6314
2014-06-24 19:00:00,1.0072,1.00607,1.00735,1.00597,1.00749,1.00706,1.00763,1.00637,4151
2014-06-24 21:00:00,1.00607,1.00631,1.0067,1.00593,1.00706,1.00661,1.00702,1.00656,1658
2014-06-24 23:00:00,1.00631,1.00548,1.00638,1.00511,1.00661,1.00577,1.00669,1.00541,3407
2014-06-25 01:00:00,1.00548,1.00604,1.00644,1.00532,1.00577,1.00634,1.0067,1.00561,3006
2014-06-25 03:00:00,1.00604,1.00591,1.00642,1.00568,1.00634,1.00619,1.00671,1.00596,2578
2014-06-25 05:00:00,1.00591,1.006,1.00649,1.00542,1.00619,1.0063,1.00676,1.00567,5020
2014-06-25 07:00:00,1.006,1.00652,1.00759,1.00589,1.0063,1.00678,1.00788,1.00618,5935
2014-06-25 09:00:00,1.00652,1.00604,1.00688,1.00578,1.00678,1.00635,1.00716,1.00606,4822
2014-06-25 11:00:00,1.00604,1.00764,1.00765,1.00517,1.00635,1.00792,1.00793,1.00557,11727
2014-06-25 13:00:00,1.00764,1.00703,1.00767,1.00599,1.00792,1.00729,1.00794,1.00625,10962
2014-06-25 15:00:00,1.00703,1.00681,1.00792,1.00662,1.00729,1.00711,1.00817,1.00688,7127
2014-06-25 17:00:00,1.00681,1.00799,1.00832,1.00651,1.00711,1.00824,1.00859,1.00681,4841
2014-06-25 19:00:00,1.00799,1.00797,1.00847,1.00745,1.00824,1.00894,1.00902,1.00771,3932
2014-06-25 21:00:00,1.00797,1.00785,1.00842,1.00766,1.00894,1.00817,1.009,1.00798,1925
2014-06-25 23:00:00,1.00785,1.00881,1.00942,1.00779,1.00817,1.00911,1.00967,1.00808,3581
2014-06-26 01:00:00,1.00881,1.00762,1.00904,1.00749,1.00911,1.00792,1.00933,1.00778,2375
2014-06-26 03:00:00,1.00762,1.00776,1.00776,1.0071,1.00792,1.00807,1.00807,1.00737,2670
