date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2014-06-22 23:00:00,95.796,96.137,95.905,95.787,95.814,96.158,95.926,95.806,3201
2014-06-23 01:00:00,95.822,96.219,96.319,95.794,95.844,96.239,96.34,95.815,12279
2014-06-23 03:00:00,96.219,96.229,96.244,96.179,96.239,96.25,96.263,96.201,4167
2014-06-23 05:00:00,96.229,96.174,96.279,96.16,96.25,96.197,96.298,96.182,6746
2014-06-23 07:00:00,96.174,96.053,96.175,96.051,96.197,96.073,96.195,96.071,10951
2014-06-23 09:00:00,96.053,96.144,96.184,96.042,96.073,96.165,96.203,96.063,5642
2014-06-23 11:00:00,96.144,96.104,96.181,96.081,96.165,96.125,96.202,96.101,8094
2014-06-23 13:00:00,96.104,95.999,96.118,95.964,96.125,96.018,96.14,95.985,10516
2014-06-23 15:00:00,95.999,95.944,96.017,95.891,96.018,95.965,96.038,95.91,5885
2014-06-23 17:00:00,95.944,95.947,95.991,95.925,95.965,95.966,96.012,95.944,3468
2014-06-23 19:00:00,95.947,95.99,96.032,95.933,95.966,96.087,96.127,95.952,1966
2014-06-23 21:00:00,95.99,96.021,96.067,95.972,96.087,96.044,96.09,96.008,2589
2014-06-23 23:00:00,96.021,95.963,96.037,95.939,96.044,95.979,96.06,95.96,5226
2014-06-24 01:00:00,95.963,96.018,96.052,95.931,95.979,96.036,96.069,95.948,4978
2014-06-24 03:00:00,96.018,96.079,96.094,95.98,96.036,96.098,96.11,95.999,4385
2014-06-24 05:00:00,96.079,95.927,96.089,95.854,96.098,95.948,96.11,95.877,8586
2014-06-24 07:00:00,95.927,95.819,95.929,95.78,95.948,95.84,95.949,95.802,11439
2014-06-24 09:00:00,95.819,95.74,95.848,95.713,95.84,95.759,95.869,95.73,7718
2014-06-24 11:00:00,95.74,95.714,95.827,95.69,95.759,95.734,95.85,95.709,6963
2014-06-24 13:00:00,95.714,95.792,95.82,95.604,95.734,95.811,95.841,95.625,14313
2014-06-24 15:00:00,95.792,95.748,95.811,95.725,95.811,95.767,95.833,95.748,5988
2014-06-24 17:00:00,95.748,95.613,95.747,95.607,95.767,95.637,95.767,95.625,6652
2014-06-24 19:00:00,95.613,95.468,95.626,95.468,95.637,95.554,95.648,95.521,5418
2014-06-24 21:00:00,95.468,95.474,95.536,95.474,95.554,95.497,95.563,95.497,2373
2014-06-24 23:00:00,95.474,95.375,95.479,95.342,95.497,95.395,95.501,95.361,6792
2014-06-25 01:00:00,95.375,95.371,95.466,95.317,95.395,95.395,95.484,95.34,6560
2014-06-25 03:00:00,95.371,95.375,95.433,95.343,95.395,95.394,95.452,95.359,4405
2014-06-25 05:00:00,95.375,95.392,95.437,95.303,95.394,95.415,95.457,95.324,8188
2014-06-25 07:00:00,95.392,95.469,95.549,95.359,95.415,95.491,95.571,95.378,7800
2014-06-25 09:00:00,95.469,95.489,95.529,95.425,95.491,95.507,95.551,95.445,5940
2014-06-25 11:00:00,95.489,95.526,95.539,95.353,95.507,95.546,95.561,95.368,16067
2014-06-25 13:00:00,95.526,95.578,95.6,95.433,95.546,95.6,95.618,95.451,15954
2014-06-25 15:00:00,95.578,95.573,95.649,95.545,95.6,95.594,95.667,95.565,7475
2014-06-25 17:00:00,95.573,95.726,95.745,95.573,95.594,95.748,95.764,95.593,4333
2014-06-25 19:00:00,95.726,95.802,95.83,95.708,95.748,95.857,95.858,95.727,3555
2014-06-25 21:00:00,95.802,95.712,95.823,95.663,95.857,95.736,95.855,95.69,3367
2014-06-25 23:00:00,95.712,95.687,95.809,95.675,95.736,95.708,95.828,95.699,6446
2014-06-26 01:00:00,95.687,95.618,95.751,95.612,95.708,95.638,95.767,95.628,5067
2014-06-26 03:00:00,95.618,95.698,95.698,95.587,95.638,95.718,95.719,95.607,4285
2014-06-26 05:00:00,95.698,95.765,95.793,95.675,95.718,95.784,95.813,95.693,7115
2014-06-26 07:00:00,95.765,95.74,95.78,95.682,95.784,95.76,95.8,95.704,8422
2014-06-26 09:00:00,95.74,95.736,95.814,95.688,95.76,95.758,95.834,95.709,6839
2014-06-26 11:00:00,95.736,95.695,95.797,95.687,95.758,95.717,95.817,95.707,10272
2014-06-26 13:00:00,95.695,95.445,95.75,95.396,95.717,95.465,95.769,95.417,18013
2014-06-26 15:00:00,95.445,95.59,95.614,95.432,95.465,95.612,95.636,95.453,10024
2014-06-26 17:00:00,95.59,95.645,95.673,95.579,95.612,95.666,95.694,95.6,4387
2014-06-26 19:00:00,95.645,95.739,95.769,95.632,95.666,95.804,95.804,95.652,3545
2014-06-26 21:00:00,95.739,95.716,95.759,95.656,95.804,95.74,95.808,95.682,3090
2014-06-26 23:00:00,95.716,95.688,95.723,95.576,95.74,95.709,95.743,95.596,6680
2014-06-27 01:00:00,95.688,95.624,95.77,95.591,95.709,95.645,95.792,95.611,7317
2014-06-27 03:00:00,95.624,95.683,95.695,95.549,95.645,95.705,95.715,95.569,9066
2014-06-27 05:00:00,95.683,95.624,95.715,95.609,95.705,95.646,95.737,95.631,9544
2014-06-27 07:00:00,95.624,95.537,95.644,95.448,95.646,95.558,95.667,95.47,9616
2014-06-27 09:00:00,95.537,95.488,95.582,95.462,95.558,95.504,95.603,95.483,7022
2014-06-27 11:00:00,95.488,95.506,95.523,95.424,95.504,95.528,95.546,95.446,6898
2014-06-27 13:00:00,95.506,95.459,95.523,95.383,95.528,95.479,95.541,95.405,10663
2014-06-27 15:00:00,95.459,95.426,95.512,95.403,95.479,95.447,95.532,95.419,6667
2014-06-27 17:00:00,95.426,95.527,95.545,95.385,95.447,95.55,95.566,95.408,4105
2014-06-27 19:00:00,95.527,95.514,95.628,95.501,95.55,95.695,95.695,95.538,4270
2014-06-29 19:00:00,95.514,95.473,95.525,95.473,95.695,95.635,95.645,95.584,235
2014-06-29 21:00:00,95.473,95.512,95.609,95.461,95.635,95.536,95.633,95.516,1673
2014-06-29 23:00:00,95.512,95.478,95.584,95.425,95.536,95.501,95.604,95.447,5913
2014-06-30 01:00:00,95.478,95.37,95.5,95.296,95.501,95.388,95.519,95.317,7958
2014-06-30 03:00:00,95.37,95.457,95.5,95.343,95.388,95.48,95.516,95.362,3688
2014-06-30 05:00:00,95.457,95.371,95.556,95.321,95.48,95.392,95.576,95.343,9082
2014-06-30 07:00:00,95.371,95.241,95.395,95.236,95.392,95.264,95.417,95.257,8587
2014-06-30 09:00:00,95.241,95.224,95.324,95.216,95.264,95.248,95.343,95.238,6355
2014-06-30 11:00:00,95.224,95.217,95.248,95.161,95.248,95.24,95.268,95.177,6568
2014-06-30 13:00:00,95.217,95.599,95.616,95.182,95.24,95.624,95.638,95.199,14917
2014-06-30 15:00:00,95.599,95.44,95.602,95.401,95.624,95.463,95.624,95.424,10453
2014-06-30 17:00:00,95.44,95.461,95.518,95.419,95.463,95.48,95.541,95.439,3046
2014-06-30 19:00:00,95.461,95.546,95.571,95.453,95.48,95.606,95.612,95.472,4185
2014-06-30 21:00:00,95.546,95.539,95.566,95.502,95.606,95.561,95.604,95.526,1729
2014-06-30 23:00:00,95.539,95.581,95.614,95.421,95.561,95.604,95.637,95.442,8407
2014-07-01 01:00:00,95.581,95.625,95.76,95.55,95.604,95.647,95.781,95.57,9988
2014-07-01 03:00:00,95.625,95.844,95.866,95.52,95.647,95.864,95.884,95.546,12377
2014-07-01 05:00:00,95.844,95.932,95.999,95.819,95.864,95.954,96.017,95.84,9463
2014-07-01 07:00:00,95.932,95.953,96.004,95.92,95.954,95.975,96.025,95.939,8122
2014-07-01 09:00:00,95.953,95.931,96.006,95.903,95.975,95.951,96.025,95.922,5921
2014-07-01 11:00:00,95.931,96.148,96.161,95.915,95.951,96.169,96.184,95.936,7282
2014-07-01 13:00:00,96.148,96.258,96.354,96.14,96.169,96.28,96.377,96.161,16011
2014-07-01 15:00:00,96.258,96.482,96.488,96.23,96.28,96.504,96.507,96.25,9713
2014-07-01 17:00:00,96.482,96.403,96.494,96.394,96.504,96.424,96.514,96.413,6704
2014-07-01 19:00:00,96.403,96.388,96.435,96.385,96.424,96.443,96.455,96.413,4230
2014-07-01 21:00:00,96.388,96.38,96.457,96.313,96.443,96.402,96.491,96.339,3636
2014-07-01 23:00:00,96.38,96.401,96.435,96.351,96.402,96.424,96.458,96.374,6444
2014-07-02 01:00:00,96.401,96.094,96.402,96.054,96.424,96.116,96.426,96.074,12758
2014-07-02 03:00:00,96.094,96.019,96.183,96.011,96.116,96.041,96.201,96.032,5479
2014-07-02 05:00:00,96.019,96.041,96.091,96.016,96.041,96.061,96.112,96.036,7017
2014-07-02 07:00:00,96.041,95.96,96.068,95.953,96.061,95.981,96.088,95.972,9037
2014-07-02 09:00:00,95.96,95.974,96.002,95.922,95.981,95.996,96.022,95.939,6858
2014-07-02 11:00:00,95.974,96.032,96.084,95.86,95.996,96.053,96.122,95.882,14226
2014-07-02 13:00:00,96.032,96.017,96.046,95.954,96.053,96.037,96.067,95.974,14701
2014-07-02 15:00:00,96.017,96.075,96.123,95.998,96.037,96.093,96.145,96.013,7715
2014-07-02 17:00:00,96.075,96.083,96.165,96.034,96.093,96.107,96.186,96.057,4511
2014-07-02 19:00:00,96.083,96.069,96.105,96.017,96.107,96.132,96.134,96.036,3089
2014-07-02 21:00:00,96.069,96.059,96.109,96.03,96.132,96.083,96.173,96.055,2485
2014-07-02 23:00:00,96.059,96.031,96.115,95.996,96.083,96.059,96.137,96.02,6800
2014-07-03 01:00:00,96.031,95.521,96.041,95.473,96.059,95.544,96.068,95.495,21726
2014-07-03 03:00:00,95.521,95.534,95.554,95.484,95.544,95.554,95.574,95.505,5142
2014-07-03 05:00:00,95.534,95.431,95.566,95.426,95.554,95.454,95.587,95.448,8754
2014-07-03 07:00:00,95.431,95.578,95.601,95.39,95.454,95.598,95.621,95.411,9886
2014-07-03 09:00:00,95.578,95.503,95.609,95.496,95.598,95.524,95.631,95.514,5271
2014-07-03 11:00:00,95.503,95.386,95.592,95.31,95.524,95.407,95.667,95.341,22277
