date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2014-06-22 23:00:00,1.70199,1.70245,1.702,1.70105,1.70218,1.70262,1.70219,1.70123,2468
2014-06-23 01:00:00,1.70118,1.7034,1.70351,1.70097,1.70133,1.70358,1.70367,1.70112,5931
2014-06-23 03:00:00,1.7034,1.70404,1.70443,1.70324,1.70358,1.70409,1.70457,1.7034,3388
2014-06-23 05:00:00,1.70404,1.70378,1.70498,1.70352,1.70409,1.70395,1.70505,1.70367,6438
2014-06-23 07:00:00,1.70378,1.702,1.7041,1.70156,1.70395,1.70216,1.70426,1.7017,17478
2014-06-23 09:00:00,1.702,1.7023,1.70273,1.70133,1.70216,1.70247,1.7029,1.70149,9199
2014-06-23 11:00:00,1.7023,1.70079,1.70241,1.70011,1.70247,1.70092,1.70253,1.70023,12502
2014-06-23 13:00:00,1.70079,1.70076,1.70164,1.70024,1.70092,1.7009,1.70179,1.7004,15630
2014-06-23 15:00:00,1.70076,1.70176,1.70185,1.70012,1.7009,1.70192,1.70199,1.70026,8419
2014-06-23 17:00:00,1.70176,1.70228,1.70237,1.70094,1.70192,1.70244,1.70253,1.70109,4065
2014-06-23 19:00:00,1.70228,1.70261,1.70289,1.702,1.70244,1.70289,1.70304,1.70217,3940
2014-06-23 21:00:00,1.70261,1.70284,1.70305,1.70213,1.70289,1.70303,1.70324,1.70234,2448
2014-06-23 23:00:00,1.70284,1.70255,1.70289,1.7018,1.70303,1.70268,1.70307,1.70192,3872
2014-06-24 01:00:00,1.70255,1.70201,1.70254,1.70168,1.70268,1.70217,1.70268,1.70182,3024
2014-06-24 03:00:00,1.70201,1.70231,1.70275,1.70201,1.70217,1.70245,1.70293,1.70219,2257
2014-06-24 05:00:00,1.70231,1.70222,1.70307,1.70189,1.70245,1.70239,1.70323,1.70205,6097
2014-06-24 07:00:00,1.70222,1.69833,1.70314,1.69777,1.70239,1.69853,1.70331,1.69794,23900
2014-06-24 09:00:00,1.69833,1.69917,1.70058,1.69731,1.69853,1.6993,1.7007,1.69743,22387
2014-06-24 11:00:00,1.69917,1.69921,1.69964,1.69855,1.6993,1.69936,1.6998,1.69868,12146
2014-06-24 13:00:00,1.69921,1.69698,1.69994,1.6967,1.69936,1.69713,1.70008,1.69686,17109
2014-06-24 15:00:00,1.69698,1.69723,1.69726,1.69652,1.69713,1.69737,1.6974,1.69668,8202
2014-06-24 17:00:00,1.69723,1.69809,1.69924,1.69715,1.69737,1.69826,1.69942,1.6973,7355
2014-06-24 19:00:00,1.69809,1.69837,1.69878,1.69778,1.69826,1.69865,1.69893,1.69794,3686
2014-06-24 21:00:00,1.69837,1.69836,1.69865,1.69819,1.69865,1.69855,1.69885,1.69831,1937
2014-06-24 23:00:00,1.69836,1.69769,1.69852,1.69751,1.69855,1.69787,1.69867,1.69765,1757
2014-06-25 01:00:00,1.69769,1.6976,1.69788,1.69717,1.69787,1.69776,1.69804,1.69735,3096
2014-06-25 03:00:00,1.6976,1.69712,1.69782,1.69706,1.69776,1.69727,1.69797,1.6972,1810
2014-06-25 05:00:00,1.69712,1.69589,1.69781,1.69533,1.69727,1.69603,1.69795,1.69549,9275
2014-06-25 07:00:00,1.69589,1.69754,1.69822,1.69516,1.69603,1.6977,1.69838,1.69531,13184
2014-06-25 09:00:00,1.69754,1.69701,1.69775,1.69649,1.6977,1.69718,1.6979,1.69666,10659
2014-06-25 11:00:00,1.69701,1.69977,1.70038,1.69625,1.69718,1.69993,1.70054,1.6964,19540
2014-06-25 13:00:00,1.69977,1.69795,1.70008,1.69784,1.69993,1.69811,1.70022,1.69799,18165
2014-06-25 15:00:00,1.69795,1.6979,1.6986,1.69726,1.69811,1.69806,1.69875,1.69739,10716
2014-06-25 17:00:00,1.6979,1.69792,1.69831,1.69712,1.69806,1.69806,1.69843,1.69729,4198
2014-06-25 19:00:00,1.69792,1.69823,1.69834,1.69742,1.69806,1.69849,1.69855,1.69757,3243
2014-06-25 21:00:00,1.69823,1.69853,1.69872,1.69793,1.69849,1.69872,1.69891,1.69802,1847
2014-06-25 23:00:00,1.69853,1.69878,1.699,1.698,1.69872,1.69893,1.69918,1.69816,3022
2014-06-26 01:00:00,1.69878,1.69876,1.69917,1.69861,1.69893,1.69892,1.69935,1.69877,2534
2014-06-26 03:00:00,1.69876,1.69862,1.69903,1.69858,1.69892,1.69879,1.69921,1.69873,2559
2014-06-26 05:00:00,1.69862,1.69885,1.69956,1.69823,1.69879,1.69903,1.69971,1.69838,5353
2014-06-26 07:00:00,1.69885,1.70196,1.70229,1.69703,1.69903,1.7021,1.70243,1.6972,18695
2014-06-26 09:00:00,1.70196,1.70266,1.70344,1.70043,1.7021,1.70283,1.70361,1.70059,19882
2014-06-26 11:00:00,1.70266,1.7013,1.70394,1.7011,1.70283,1.70148,1.70408,1.70125,15243
2014-06-26 13:00:00,1.7013,1.70058,1.70214,1.69963,1.70148,1.70072,1.70229,1.69977,20683
2014-06-26 15:00:00,1.70058,1.70188,1.70214,1.70031,1.70072,1.70205,1.70228,1.70046,9698
2014-06-26 17:00:00,1.70188,1.70239,1.7032,1.70169,1.70205,1.70252,1.7033,1.70181,4113
2014-06-26 19:00:00,1.70239,1.70229,1.70276,1.70209,1.70252,1.70297,1.70297,1.70223,2962
2014-06-26 21:00:00,1.70229,1.70268,1.70289,1.70219,1.70297,1.70283,1.70308,1.70242,2589
2014-06-26 23:00:00,1.70268,1.70351,1.70356,1.70198,1.70283,1.70368,1.70371,1.70214,2434
2014-06-27 01:00:00,1.70351,1.70371,1.70378,1.703,1.70368,1.70387,1.70393,1.70316,2499
2014-06-27 03:00:00,1.70371,1.70362,1.7051,1.70362,1.70387,1.7038,1.70524,1.7038,3476
2014-06-27 05:00:00,1.70362,1.70345,1.70399,1.70323,1.7038,1.70361,1.70415,1.70339,3966
2014-06-27 07:00:00,1.70345,1.70244,1.70365,1.70143,1.70361,1.70257,1.70381,1.70162,13635
2014-06-27 09:00:00,1.70244,1.70235,1.70319,1.70201,1.70257,1.70251,1.70334,1.70215,8708
2014-06-27 11:00:00,1.70235,1.70268,1.70313,1.7016,1.70251,1.70283,1.7033,1.70176,9253
2014-06-27 13:00:00,1.70268,1.70152,1.70284,1.70062,1.70283,1.70169,1.70298,1.70077,11525
2014-06-27 15:00:00,1.70152,1.7019,1.70216,1.70106,1.70169,1.70208,1.70231,1.7012,7882
2014-06-27 17:00:00,1.7019,1.70208,1.70216,1.70149,1.70208,1.70225,1.7023,1.70166,3326
2014-06-27 19:00:00,1.70208,1.70283,1.70447,1.70191,1.70225,1.70394,1.70462,1.70206,4974
2014-06-29 19:00:00,1.70283,1.70334,1.7025,1.70224,1.70394,1.70376,1.70387,1.70311,11
2014-06-29 21:00:00,1.7025,1.70345,1.70389,1.70225,1.70387,1.70364,1.70405,1.7028,1151
2014-06-29 23:00:00,1.70345,1.70285,1.70362,1.70281,1.70364,1.70302,1.70378,1.70298,2603
2014-06-30 01:00:00,1.70285,1.70262,1.70326,1.7023,1.70302,1.70279,1.70342,1.70249,2708
2014-06-30 03:00:00,1.70262,1.70248,1.70286,1.70243,1.70279,1.70266,1.70302,1.70259,1084
2014-06-30 05:00:00,1.70248,1.70162,1.7041,1.70124,1.70266,1.70177,1.70428,1.7014,5811
2014-06-30 07:00:00,1.70162,1.70267,1.70271,1.70147,1.70177,1.70278,1.70286,1.70163,11734
2014-06-30 09:00:00,1.70267,1.70339,1.70404,1.7008,1.70278,1.70354,1.70421,1.70096,13619
2014-06-30 11:00:00,1.70339,1.70499,1.70541,1.70339,1.70354,1.70515,1.70556,1.70355,13968
2014-06-30 13:00:00,1.70499,1.70964,1.70979,1.70467,1.70515,1.70981,1.70993,1.70484,21852
2014-06-30 15:00:00,1.70964,1.71018,1.71147,1.70951,1.70981,1.71031,1.71158,1.7097,14018
2014-06-30 17:00:00,1.71018,1.71063,1.71104,1.70992,1.71031,1.71081,1.71119,1.71009,4644
2014-06-30 19:00:00,1.71063,1.71045,1.71148,1.71043,1.71081,1.7107,1.71161,1.71061,3788
2014-06-30 21:00:00,1.71045,1.71024,1.71118,1.71021,1.7107,1.7104,1.71127,1.71037,1376
2014-06-30 23:00:00,1.71024,1.71091,1.71117,1.71024,1.7104,1.71111,1.71134,1.71043,2777
2014-07-01 01:00:00,1.71091,1.71062,1.71117,1.71031,1.71111,1.71079,1.71133,1.71046,2550
2014-07-01 03:00:00,1.71062,1.71061,1.71111,1.71019,1.71079,1.71079,1.71126,1.71036,3203
2014-07-01 05:00:00,1.71061,1.71016,1.71073,1.70953,1.71079,1.71033,1.71087,1.70969,5128
2014-07-01 07:00:00,1.71016,1.71294,1.71323,1.70954,1.71033,1.71308,1.71342,1.70969,12765
2014-07-01 09:00:00,1.71294,1.71349,1.71467,1.71226,1.71308,1.71364,1.71482,1.71242,11738
2014-07-01 11:00:00,1.71349,1.71449,1.71552,1.71301,1.71364,1.71466,1.71566,1.71318,13089
2014-07-01 13:00:00,1.71449,1.71369,1.71614,1.71351,1.71466,1.71386,1.71631,1.71367,15593
2014-07-01 15:00:00,1.71369,1.71639,1.71655,1.71332,1.71386,1.71656,1.7167,1.71346,10360
2014-07-01 17:00:00,1.71639,1.71512,1.7165,1.71507,1.71656,1.71528,1.71663,1.71523,5517
2014-07-01 19:00:00,1.71512,1.71479,1.71538,1.71458,1.71528,1.71518,1.71554,1.71495,4896
2014-07-01 21:00:00,1.71479,1.71482,1.71511,1.71452,1.71518,1.71501,1.71531,1.71485,4711
2014-07-01 23:00:00,1.71482,1.71445,1.71501,1.71422,1.71501,1.71459,1.71517,1.71437,5013
2014-07-02 01:00:00,1.71445,1.71487,1.715,1.71395,1.71459,1.71504,1.71514,1.71413,4179
2014-07-02 03:00:00,1.71487,1.71458,1.71508,1.71423,1.71504,1.71475,1.71525,1.71438,2869
2014-07-02 05:00:00,1.71458,1.71539,1.71589,1.71438,1.71475,1.71552,1.71603,1.71452,5465
2014-07-02 07:00:00,1.71539,1.7164,1.71766,1.7145,1.71552,1.71655,1.71839,1.71464,16326
2014-07-02 09:00:00,1.7164,1.71599,1.71677,1.7157,1.71655,1.71616,1.71694,1.71582,8125
2014-07-02 11:00:00,1.71599,1.71456,1.71689,1.71396,1.71616,1.71471,1.71703,1.71408,17147
2014-07-02 13:00:00,1.71456,1.71677,1.71687,1.7143,1.71471,1.71692,1.71702,1.71444,16071
2014-07-02 15:00:00,1.71677,1.71604,1.71722,1.71517,1.71692,1.71621,1.71736,1.71532,10783
2014-07-02 17:00:00,1.71604,1.71623,1.71642,1.71516,1.71621,1.71639,1.71656,1.71531,4878
2014-07-02 19:00:00,1.71623,1.71635,1.71662,1.71614,1.71639,1.71677,1.71682,1.71629,2885
2014-07-02 21:00:00,1.71635,1.71599,1.71663,1.71593,1.71677,1.71618,1.71679,1.71612,4008
2014-07-02 23:00:00,1.71599,1.71602,1.71642,1.71588,1.71618,1.71616,1.71658,1.71604,3639
2014-07-03 01:00:00,1.71602,1.71573,1.71615,1.71494,1.71616,1.71588,1.71633,1.7151,8803
2014-07-03 03:00:00,1.71573,1.71549,1.71585,1.71537,1.71588,1.71567,1.71602,1.7155,2907
2014-07-03 05:00:00,1.71549,1.715,1.71569,1.71453,1.71567,1.71514,1.71587,1.71465,3936
2014-07-03 07:00:00,1.715,1.7137,1.71604,1.71328,1.71514,1.71384,1.7162,1.71345,15034
2014-07-03 09:00:00,1.7137,1.71362,1.71575,1.71356,1.71384,1.7138,1.71591,1.71372,10420
2014-07-03 11:00:00,1.71362,1.71185,1.71406,1.70968,1.7138,1.71201,1.71424,1.71047,27549
2014-07-03 13:00:00,1.71185,1.71418,1.71557,1.71174,1.71201,1.7143,1.71571,1.71192,25809
2014-07-03 15:00:00,1.71418,1.71476,1.71529,1.71387,1.7143,1.7149,1.71546,1.71401,10686
2014-07-03 17:00:00,1.71476,1.71503,1.71545,1.71475,1.7149,1.71519,1.71562,1.71492,3904
2014-07-03 19:00:00,1.71503,1.7153,1.71549,1.71502,1.71519,1.71562,1.71567,1.71517,3051
2014-07-03 21:00:00,1.7153,1.71523,1.71554,1.71505,1.71562,1.7154,1.71571,1.71526,3171
2014-07-03 23:00:00,1.71523,1.71573,1.7159,1.7149,1.7154,1.71591,1.71605,1.71506,3945
2014-07-04 01:00:00,1.71573,1.71658,1.71659,1.71554,1.71591,1.71673,1.71674,1.71571,4980
2014-07-04 03:00:00,1.71658,1.71694,1.7174,1.71625,1.71673,1.71706,1.71756,1.7164,4774
2014-07-04 05:00:00,1.71694,1.71599,1.7179,1.71579,1.71706,1.71616,1.71805,1.71595,6377
2014-07-04 07:00:00,1.71599,1.71529,1.71611,1.71473,1.71616,1.71545,1.71626,1.71488,9630
2014-07-04 09:00:00,1.71529,1.71414,1.71528,1.71371,1.71545,1.71429,1.71545,1.71381,8310
2014-07-04 11:00:00,1.71414,1.7142,1.71478,1.71306,1.71429,1.71436,1.71492,1.71323,7624
2014-07-04 13:00:00,1.7142,1.71463,1.71542,1.71412,1.71436,1.71481,1.71557,1.71429,6374
2014-07-04 15:00:00,1.71463,1.71606,1.71665,1.71446,1.71481,1.71625,1.71684,1.7146,7492
2014-07-04 17:00:00,1.71606,1.71567,1.71645,1.71556,1.71625,1.7159,1.7166,1.71576,8482
2014-07-04 19:00:00,1.71567,1.71578,1.71594,1.71514,1.7159,1.71621,1.71625,1.71533,9137
2014-07-06 19:00:00,1.71578,1.71665,1.71678,1.71545,1.71621,1.71695,1.71765,1.71642,145
2014-07-06 21:00:00,1.71665,1.71538,1.71662,1.71537,1.71695,1.71553,1.71712,1.71553,3497
