date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2014-06-22 23:00:00,0.8703,0.87193,0.87072,0.86998,0.87051,0.87215,0.87093,0.87021,3235
2014-06-23 01:00:00,0.87018,0.87308,0.87331,0.86989,0.87037,0.8733,0.87352,0.87008,14070
2014-06-23 03:00:00,0.87308,0.87341,0.87363,0.87259,0.8733,0.87359,0.87381,0.87278,6473
2014-06-23 05:00:00,0.87341,0.87393,0.87478,0.87329,0.87359,0.87415,0.87501,0.87348,9075
2014-06-23 07:00:00,0.87393,0.87334,0.87428,0.87323,0.87415,0.87354,0.87451,0.87343,9562
2014-06-23 09:00:00,0.87334,0.8734,0.87363,0.87284,0.87354,0.87362,0.87382,0.87305,6097
2014-06-23 11:00:00,0.8734,0.8724,0.87364,0.87236,0.87362,0.87261,0.87383,0.87256,8014
2014-06-23 13:00:00,0.8724,0.87129,0.87258,0.87104,0.87261,0.8715,0.87275,0.87122,8086
2014-06-23 15:00:00,0.87129,0.87103,0.87136,0.86997,0.8715,0.87122,0.87157,0.87017,6931
2014-06-23 17:00:00,0.87103,0.87116,0.87142,0.87091,0.87122,0.87139,0.87163,0.87111,5406
2014-06-23 19:00:00,0.87116,0.87081,0.87153,0.87061,0.87139,0.87158,0.87175,0.87084,6109
2014-06-23 21:00:00,0.87081,0.87135,0.87202,0.87001,0.87158,0.87162,0.87237,0.87123,4716
2014-06-23 23:00:00,0.87135,0.87114,0.87135,0.87019,0.87162,0.87133,0.87163,0.8704,7362
2014-06-24 01:00:00,0.87114,0.87176,0.87181,0.8708,0.87133,0.87195,0.87203,0.87102,6571
2014-06-24 03:00:00,0.87176,0.87209,0.87226,0.8713,0.87195,0.87229,0.87245,0.87151,8226
2014-06-24 05:00:00,0.87209,0.87163,0.87223,0.87126,0.87229,0.87186,0.87242,0.87147,9231
2014-06-24 07:00:00,0.87163,0.87071,0.87168,0.87029,0.87186,0.87094,0.87188,0.87048,9407
2014-06-24 09:00:00,0.87071,0.87076,0.87115,0.87021,0.87094,0.87098,0.87135,0.87039,7127
2014-06-24 11:00:00,0.87076,0.86973,0.87152,0.86958,0.87098,0.86994,0.87175,0.86977,6501
