date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2014-06-22 23:00:00,1.07521,1.07508,1.07524,1.07501,1.07542,1.07529,1.07546,1.07521,720
2014-06-23 01:00:00,1.07523,1.07271,1.07528,1.07254,1.07543,1.07292,1.07548,1.07273,5683
2014-06-23 03:00:00,1.07271,1.07277,1.07283,1.072,1.07292,1.07296,1.07306,1.07222,2584
2014-06-23 05:00:00,1.07277,1.07311,1.07326,1.07249,1.07296,1.0733,1.07346,1.07269,4657
2014-06-23 07:00:00,1.07311,1.07266,1.07329,1.07159,1.0733,1.07287,1.07346,1.0718,6924
2014-06-23 09:00:00,1.07266,1.07336,1.07354,1.07244,1.07287,1.07356,1.07372,1.07263,4348
2014-06-23 11:00:00,1.07336,1.07401,1.07416,1.07297,1.07356,1.07422,1.07437,1.07317,7496
2014-06-23 13:00:00,1.07401,1.07346,1.07416,1.07263,1.07422,1.07363,1.07437,1.07283,8407
2014-06-23 15:00:00,1.07346,1.07323,1.07404,1.07275,1.07363,1.07342,1.07423,1.07296,5784
2014-06-23 17:00:00,1.07323,1.07251,1.07327,1.07227,1.07342,1.07271,1.07347,1.07248,4047
2014-06-23 19:00:00,1.07251,1.07294,1.07304,1.07224,1.07271,1.07335,1.0734,1.07244,3076
2014-06-23 21:00:00,1.07294,1.07298,1.07309,1.07219,1.07335,1.07321,1.07359,1.07282,2311
2014-06-23 23:00:00,1.07298,1.07276,1.07313,1.07265,1.07321,1.07299,1.07335,1.07288,2219
2014-06-24 01:00:00,1.07276,1.07219,1.07279,1.07212,1.07299,1.07238,1.073,1.07233,2055
2014-06-24 03:00:00,1.07219,1.07184,1.07227,1.07183,1.07238,1.07204,1.07248,1.07203,1597
2014-06-24 05:00:00,1.07184,1.07198,1.07236,1.07177,1.07204,1.07219,1.07257,1.07198,2681
2014-06-24 07:00:00,1.07198,1.07188,1.07241,1.07148,1.07219,1.0721,1.07259,1.07171,5563
2014-06-24 09:00:00,1.07188,1.07275,1.07306,1.07171,1.0721,1.07292,1.07326,1.07185,4313
2014-06-24 11:00:00,1.07275,1.07295,1.07359,1.07248,1.07292,1.07313,1.0738,1.07268,3667
2014-06-24 13:00:00,1.07295,1.07394,1.07435,1.07271,1.07313,1.07411,1.07455,1.07291,6308
2014-06-24 15:00:00,1.07394,1.07409,1.07423,1.07341,1.07411,1.07428,1.07442,1.07361,5062
2014-06-24 17:00:00,1.07409,1.07406,1.07444,1.0734,1.07428,1.07425,1.07459,1.07359,5214
2014-06-24 19:00:00,1.07406,1.07426,1.07446,1.07397,1.07425,1.07458,1.07465,1.07416,3214
2014-06-24 21:00:00,1.07426,1.07435,1.07444,1.07389,1.07458,1.07458,1.07472,1.0742,3701
2014-06-24 23:00:00,1.07435,1.07444,1.07466,1.07433,1.07458,1.07463,1.07486,1.07454,1362
2014-06-25 01:00:00,1.07444,1.07477,1.07478,1.07441,1.07463,1.07497,1.07498,1.07461,1084
2014-06-25 03:00:00,1.07477,1.07469,1.07498,1.07442,1.07497,1.0749,1.07508,1.0746,1143
2014-06-25 05:00:00,1.07469,1.07465,1.07484,1.07442,1.0749,1.07485,1.07504,1.07461,2209
2014-06-25 07:00:00,1.07465,1.07454,1.07509,1.07435,1.07485,1.07474,1.07532,1.07455,2890
2014-06-25 09:00:00,1.07454,1.07382,1.07466,1.07357,1.07474,1.07402,1.07485,1.07377,3109
2014-06-25 11:00:00,1.07382,1.07263,1.07421,1.07198,1.07402,1.07283,1.07442,1.07215,7281
2014-06-25 13:00:00,1.07263,1.0725,1.07292,1.07177,1.07283,1.07268,1.07312,1.07198,7242
2014-06-25 15:00:00,1.0725,1.07221,1.07265,1.07196,1.07268,1.07238,1.07285,1.07216,5299
2014-06-25 17:00:00,1.07221,1.07241,1.07256,1.07164,1.07238,1.0726,1.07274,1.07181,4202
2014-06-25 19:00:00,1.07241,1.07175,1.07244,1.0717,1.0726,1.0721,1.07262,1.07186,2910
2014-06-25 21:00:00,1.07175,1.0719,1.07219,1.07175,1.0721,1.07213,1.07243,1.07205,961
2014-06-25 23:00:00,1.0719,1.0723,1.0724,1.07189,1.07213,1.07249,1.0726,1.07209,1475
2014-06-26 01:00:00,1.0723,1.07193,1.07231,1.07184,1.07249,1.07216,1.07253,1.07203,897
2014-06-26 03:00:00,1.07193,1.07166,1.07197,1.07158,1.07216,1.07187,1.07218,1.07178,837
2014-06-26 05:00:00,1.07166,1.07105,1.0717,1.07059,1.07187,1.07125,1.07192,1.07074,3790
2014-06-26 07:00:00,1.07105,1.07054,1.07147,1.07051,1.07125,1.07074,1.07166,1.07071,4079
2014-06-26 09:00:00,1.07054,1.07097,1.07104,1.07046,1.07074,1.07117,1.07123,1.07065,3013
2014-06-26 11:00:00,1.07097,1.07101,1.07187,1.07067,1.07117,1.07121,1.07209,1.07088,4548
2014-06-26 13:00:00,1.07101,1.07142,1.07152,1.07053,1.07121,1.07162,1.07171,1.07072,7119
2014-06-26 15:00:00,1.07142,1.06897,1.07217,1.06851,1.07162,1.06918,1.07235,1.06871,8778
2014-06-26 17:00:00,1.06897,1.0685,1.06925,1.06822,1.06918,1.06868,1.06948,1.06842,4597
2014-06-26 19:00:00,1.0685,1.0687,1.06927,1.06848,1.06868,1.06909,1.06949,1.06867,3290
2014-06-26 21:00:00,1.0687,1.06905,1.06926,1.06868,1.06909,1.06925,1.06949,1.06901,848
2014-06-26 23:00:00,1.06905,1.06865,1.06927,1.06836,1.06925,1.06885,1.06946,1.06857,1601
2014-06-27 01:00:00,1.06865,1.06841,1.06888,1.0683,1.06885,1.06863,1.06909,1.06851,1778
2014-06-27 03:00:00,1.06841,1.06773,1.06843,1.06769,1.06863,1.06794,1.06866,1.06788,1507
2014-06-27 05:00:00,1.06773,1.06831,1.06849,1.06769,1.06794,1.06853,1.0687,1.06786,2247
2014-06-27 07:00:00,1.06831,1.06913,1.06937,1.0682,1.06853,1.06933,1.06957,1.0684,3718
2014-06-27 09:00:00,1.06913,1.06882,1.06912,1.06859,1.06933,1.06903,1.06933,1.0688,2781
2014-06-27 11:00:00,1.06882,1.06912,1.06956,1.06836,1.06903,1.06932,1.06974,1.06855,4927
2014-06-27 13:00:00,1.06912,1.0678,1.06925,1.06684,1.06932,1.068,1.06942,1.06704,8066
2014-06-27 15:00:00,1.0678,1.06663,1.06788,1.06641,1.068,1.06683,1.06806,1.06661,5843
2014-06-27 17:00:00,1.06663,1.06596,1.06695,1.0659,1.06683,1.06615,1.06716,1.06609,4487
2014-06-27 19:00:00,1.06596,1.06608,1.06676,1.0659,1.06615,1.06711,1.06717,1.0661,3340
2014-06-29 19:00:00,1.06608,1.06618,1.06653,1.06602,1.06711,1.06702,1.0675,1.06687,23
2014-06-29 21:00:00,1.06618,1.06645,1.06669,1.06594,1.06702,1.06663,1.06729,1.06628,609
2014-06-29 23:00:00,1.06645,1.06632,1.06673,1.06624,1.06663,1.06652,1.06695,1.06645,1226
2014-06-30 01:00:00,1.06632,1.06706,1.06718,1.06627,1.06652,1.06726,1.06739,1.06648,1119
2014-06-30 03:00:00,1.06706,1.06735,1.06746,1.06706,1.06726,1.06753,1.06764,1.06727,702
2014-06-30 05:00:00,1.06735,1.06831,1.06836,1.06696,1.06753,1.06848,1.06853,1.06718,2938
2014-06-30 07:00:00,1.06831,1.06835,1.06858,1.06795,1.06848,1.06856,1.06877,1.06816,3603
2014-06-30 09:00:00,1.06835,1.06814,1.06871,1.06781,1.06856,1.06836,1.06889,1.06802,2868
2014-06-30 11:00:00,1.06814,1.06931,1.06957,1.06773,1.06836,1.0695,1.06977,1.0679,5939
2014-06-30 13:00:00,1.06931,1.06501,1.06933,1.065,1.0695,1.06522,1.06954,1.06521,8478
2014-06-30 15:00:00,1.06501,1.0665,1.06802,1.06456,1.06522,1.06672,1.06823,1.06479,9378
2014-06-30 17:00:00,1.0665,1.06636,1.06713,1.06636,1.06672,1.06658,1.06733,1.06656,3386
2014-06-30 19:00:00,1.06636,1.0668,1.06717,1.0663,1.06658,1.06727,1.06739,1.0665,3667
2014-06-30 21:00:00,1.0668,1.06704,1.06746,1.06656,1.06727,1.06727,1.06765,1.06681,1957
2014-06-30 23:00:00,1.06704,1.06736,1.06746,1.06698,1.06727,1.06757,1.06767,1.06721,1423
2014-07-01 01:00:00,1.06736,1.06666,1.06736,1.06652,1.06757,1.06688,1.06757,1.06674,1635
2014-07-01 03:00:00,1.06666,1.06718,1.06738,1.06668,1.06688,1.06738,1.06756,1.06688,1967
2014-07-01 05:00:00,1.06718,1.06736,1.06768,1.06714,1.06738,1.06757,1.0679,1.06733,2120
2014-07-01 07:00:00,1.06736,1.06693,1.06747,1.06665,1.06757,1.06713,1.06767,1.06687,3839
2014-07-01 09:00:00,1.06693,1.06645,1.06706,1.06636,1.06713,1.06666,1.06725,1.06656,2841
2014-07-01 11:00:00,1.06645,1.06579,1.06656,1.06561,1.06666,1.06599,1.06676,1.06582,5489
2014-07-01 13:00:00,1.06579,1.06566,1.06605,1.0651,1.06599,1.06586,1.06629,1.06531,9461
2014-07-01 15:00:00,1.06566,1.06384,1.06593,1.06343,1.06586,1.06405,1.06613,1.06364,7103
2014-07-01 17:00:00,1.06384,1.0635,1.06406,1.063,1.06405,1.06369,1.06426,1.0632,6150
