date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2014-06-22 23:00:00,0.89565,0.89561,0.89589,0.89546,0.89581,0.89575,0.89601,0.8956,1412
2014-06-23 01:00:00,0.89573,0.89472,0.89584,0.89455,0.89589,0.89486,0.89599,0.8947,3930
2014-06-23 03:00:00,0.89472,0.89468,0.89509,0.89459,0.89486,0.89483,0.89521,0.89473,2622
2014-06-23 05:00:00,0.89468,0.89459,0.89481,0.89424,0.89483,0.89474,0.89494,0.89435,4799
2014-06-23 07:00:00,0.89459,0.8962,0.8964,0.89462,0.89474,0.89635,0.89654,0.89475,13610
2014-06-23 09:00:00,0.8962,0.89549,0.89674,0.89541,0.89635,0.89561,0.89687,0.89554,7041
2014-06-23 11:00:00,0.89549,0.89472,0.8958,0.89445,0.89561,0.89487,0.89593,0.89459,10240
2014-06-23 13:00:00,0.89472,0.89496,0.89579,0.89471,0.89487,0.8951,0.89591,0.89484,12830
2014-06-23 15:00:00,0.89496,0.89459,0.89509,0.89452,0.8951,0.89473,0.89523,0.89467,7155
2014-06-23 17:00:00,0.89459,0.89403,0.89464,0.89398,0.89473,0.89416,0.89479,0.89412,4043
2014-06-23 19:00:00,0.89403,0.89411,0.89433,0.89395,0.89416,0.89434,0.89446,0.8941,3443
2014-06-23 21:00:00,0.89411,0.89428,0.89434,0.89406,0.89434,0.89445,0.8945,0.8942,1405
2014-06-23 23:00:00,0.89428,0.89445,0.89457,0.89422,0.89445,0.89461,0.89472,0.89438,2355
2014-06-24 01:00:00,0.89445,0.89514,0.89518,0.89446,0.89461,0.89529,0.89531,0.89461,2398
2014-06-24 03:00:00,0.89514,0.89499,0.8952,0.89486,0.89529,0.89514,0.89534,0.89501,2334
2014-06-24 05:00:00,0.89499,0.89419,0.89527,0.89412,0.89514,0.89434,0.89541,0.89426,5254
2014-06-24 07:00:00,0.89419,0.8926,0.89487,0.89257,0.89434,0.89274,0.89504,0.8927,14951
2014-06-24 09:00:00,0.8926,0.8936,0.89378,0.89242,0.89274,0.89371,0.89392,0.89256,10767
2014-06-24 11:00:00,0.8936,0.89357,0.89422,0.89316,0.89371,0.89372,0.89437,0.8933,8312
2014-06-24 13:00:00,0.89357,0.89523,0.89549,0.89297,0.89372,0.89536,0.89563,0.89309,13005
2014-06-24 15:00:00,0.89523,0.89526,0.89575,0.89497,0.89536,0.89539,0.8959,0.8951,7436
2014-06-24 17:00:00,0.89526,0.89413,0.89526,0.89298,0.89539,0.89428,0.89539,0.89313,7892
2014-06-24 19:00:00,0.89413,0.89355,0.89422,0.89355,0.89428,0.89392,0.89434,0.8938,3608
2014-06-24 21:00:00,0.89355,0.89396,0.894,0.8935,0.89392,0.89407,0.89424,0.89386,1990
2014-06-24 23:00:00,0.89396,0.89398,0.89412,0.89381,0.89407,0.89411,0.89426,0.89397,1500
2014-06-25 01:00:00,0.89398,0.89415,0.89425,0.89391,0.89411,0.8943,0.89439,0.89406,1993
