date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2014-06-22 23:00:00,102.081,102.002,102.13,102.062,102.095,102.016,102.144,102.075,2817
2014-06-23 01:00:00,102.089,101.966,102.105,101.952,102.102,101.978,102.117,101.966,4709
2014-06-23 03:00:00,101.966,101.937,101.981,101.904,101.978,101.951,101.993,101.915,2979
2014-06-23 05:00:00,101.937,101.915,101.952,101.909,101.951,101.929,101.966,101.922,3634
2014-06-23 07:00:00,101.915,101.831,101.924,101.811,101.929,101.844,101.936,101.824,9817
2014-06-23 09:00:00,101.831,101.842,101.9,101.828,101.844,101.855,101.911,101.841,4374
2014-06-23 11:00:00,101.842,101.858,101.898,101.816,101.855,101.872,101.912,101.829,6902
2014-06-23 13:00:00,101.858,101.888,101.937,101.837,101.872,101.9,101.95,101.849,9216
2014-06-23 15:00:00,101.888,101.909,101.924,101.874,101.9,101.92,101.936,101.888,4061
2014-06-23 17:00:00,101.909,101.896,101.925,101.869,101.92,101.91,101.938,101.881,3355
2014-06-23 19:00:00,101.896,101.916,101.948,101.888,101.91,101.945,101.965,101.9,2230
2014-06-23 21:00:00,101.916,101.887,101.936,101.883,101.945,101.901,101.951,101.897,1989
2014-06-23 23:00:00,101.887,101.832,101.903,101.812,101.901,101.844,101.913,101.824,3771
2014-06-24 01:00:00,101.832,101.868,101.878,101.815,101.844,101.882,101.891,101.826,2607
2014-06-24 03:00:00,101.868,101.924,101.954,101.859,101.882,101.937,101.966,101.871,2546
2014-06-24 05:00:00,101.924,101.963,101.966,101.901,101.937,101.976,101.978,101.914,5016
2014-06-24 07:00:00,101.963,101.926,102.01,101.879,101.976,101.939,102.023,101.891,8786
2014-06-24 09:00:00,101.926,101.877,101.958,101.837,101.939,101.889,101.971,101.85,6174
2014-06-24 11:00:00,101.877,101.919,101.937,101.861,101.889,101.931,101.949,101.875,4220
2014-06-24 13:00:00,101.919,102.133,102.137,101.882,101.931,102.145,102.15,101.894,10019
2014-06-24 15:00:00,102.133,102.097,102.161,102.095,102.145,102.109,102.174,102.108,4441
2014-06-24 17:00:00,102.097,101.964,102.097,101.933,102.109,101.977,102.109,101.945,6180
2014-06-24 19:00:00,101.964,101.964,101.979,101.908,101.977,101.983,101.995,101.92,4334
2014-06-24 21:00:00,101.964,101.933,101.972,101.924,101.983,101.948,101.989,101.938,1612
2014-06-24 23:00:00,101.933,101.916,101.945,101.901,101.948,101.928,101.959,101.915,4080
2014-06-25 01:00:00,101.916,101.889,101.924,101.862,101.928,101.901,101.936,101.875,5240
2014-06-25 03:00:00,101.889,101.895,101.921,101.877,101.901,101.908,101.933,101.888,3101
2014-06-25 05:00:00,101.895,101.904,101.934,101.853,101.908,101.918,101.948,101.866,4891
2014-06-25 07:00:00,101.904,101.924,101.928,101.868,101.918,101.936,101.942,101.881,4384
2014-06-25 09:00:00,101.924,101.92,101.947,101.904,101.936,101.934,101.961,101.917,3268
2014-06-25 11:00:00,101.92,101.69,101.927,101.619,101.934,101.702,101.94,101.632,14181
2014-06-25 13:00:00,101.69,101.794,101.81,101.659,101.702,101.805,101.821,101.672,13189
2014-06-25 15:00:00,101.794,101.776,101.811,101.726,101.805,101.79,101.82,101.738,5161
2014-06-25 17:00:00,101.776,101.845,101.862,101.777,101.79,101.86,101.877,101.79,3769
2014-06-25 19:00:00,101.845,101.852,101.868,101.826,101.86,101.877,101.88,101.839,1981
2014-06-25 21:00:00,101.852,101.803,101.86,101.772,101.877,101.818,101.881,101.787,2276
2014-06-25 23:00:00,101.803,101.715,101.828,101.688,101.818,101.728,101.84,101.701,3995
2014-06-26 01:00:00,101.715,101.727,101.771,101.713,101.728,101.738,101.782,101.726,3938
2014-06-26 03:00:00,101.727,101.773,101.774,101.714,101.738,101.787,101.787,101.726,2747
2014-06-26 05:00:00,101.773,101.756,101.811,101.738,101.787,101.769,101.824,101.752,3740
2014-06-26 07:00:00,101.756,101.744,101.794,101.726,101.769,101.756,101.806,101.737,4786
2014-06-26 09:00:00,101.744,101.715,101.798,101.707,101.756,101.728,101.81,101.717,4566
2014-06-26 11:00:00,101.715,101.696,101.794,101.651,101.728,101.71,101.807,101.663,8558
2014-06-26 13:00:00,101.696,101.541,101.722,101.481,101.71,101.556,101.734,101.495,16164
2014-06-26 15:00:00,101.541,101.629,101.684,101.526,101.556,101.643,101.698,101.539,7890
2014-06-26 17:00:00,101.629,101.672,101.719,101.623,101.643,101.685,101.729,101.635,4043
2014-06-26 19:00:00,101.672,101.716,101.74,101.67,101.685,101.741,101.75,101.683,3112
2014-06-26 21:00:00,101.716,101.659,101.727,101.647,101.741,101.674,101.745,101.665,2267
2014-06-26 23:00:00,101.659,101.542,101.667,101.495,101.674,101.555,101.678,101.508,5470
2014-06-27 01:00:00,101.542,101.505,101.613,101.485,101.555,101.519,101.625,101.496,7931
2014-06-27 03:00:00,101.505,101.427,101.506,101.309,101.519,101.438,101.519,101.32,9667
2014-06-27 05:00:00,101.427,101.34,101.44,101.318,101.438,101.351,101.454,101.329,7788
2014-06-27 07:00:00,101.34,101.409,101.444,101.338,101.351,101.423,101.455,101.35,6285
2014-06-27 09:00:00,101.409,101.404,101.42,101.364,101.423,101.418,101.434,101.376,4603
2014-06-27 11:00:00,101.404,101.424,101.424,101.339,101.418,101.436,101.437,101.351,6252
2014-06-27 13:00:00,101.424,101.368,101.432,101.359,101.436,101.38,101.444,101.37,10281
2014-06-27 15:00:00,101.368,101.362,101.401,101.346,101.38,101.375,101.413,101.355,5466
2014-06-27 17:00:00,101.362,101.38,101.397,101.341,101.375,101.394,101.41,101.354,2595
2014-06-27 19:00:00,101.38,101.376,101.471,101.374,101.394,101.478,101.492,101.385,3202
2014-06-29 19:00:00,101.376,101.369,101.416,101.35,101.478,101.453,101.489,101.434,193
2014-06-29 21:00:00,101.369,101.428,101.449,101.364,101.453,101.441,101.466,101.402,1325
2014-06-29 23:00:00,101.428,101.33,101.467,101.291,101.441,101.344,101.48,101.306,4225
2014-06-30 01:00:00,101.33,101.288,101.353,101.258,101.344,101.302,101.368,101.271,5700
2014-06-30 03:00:00,101.288,101.301,101.327,101.279,101.302,101.314,101.34,101.291,2448
2014-06-30 05:00:00,101.301,101.42,101.436,101.231,101.314,101.435,101.448,101.243,5374
2014-06-30 07:00:00,101.42,101.355,101.443,101.328,101.435,101.369,101.456,101.342,4947
2014-06-30 09:00:00,101.355,101.362,101.399,101.356,101.369,101.375,101.412,101.369,4035
2014-06-30 11:00:00,101.362,101.371,101.385,101.321,101.375,101.383,101.397,101.333,4898
2014-06-30 13:00:00,101.371,101.298,101.455,101.289,101.383,101.309,101.469,101.303,10196
2014-06-30 15:00:00,101.298,101.283,101.315,101.249,101.309,101.296,101.327,101.261,6285
2014-06-30 17:00:00,101.283,101.268,101.295,101.258,101.296,101.278,101.308,101.272,2252
2014-06-30 19:00:00,101.268,101.32,101.329,101.265,101.278,101.339,101.347,101.276,2740
2014-06-30 21:00:00,101.32,101.307,101.328,101.286,101.339,101.32,101.347,101.301,1211
2014-06-30 23:00:00,101.307,101.448,101.458,101.288,101.32,101.46,101.471,101.301,6055
2014-07-01 01:00:00,101.448,101.503,101.526,101.402,101.46,101.517,101.539,101.414,6795
2014-07-01 03:00:00,101.503,101.435,101.523,101.389,101.517,101.449,101.535,101.401,5458
2014-07-01 05:00:00,101.435,101.445,101.481,101.395,101.449,101.456,101.492,101.408,3541
2014-07-01 07:00:00,101.445,101.518,101.538,101.432,101.456,101.529,101.55,101.444,5786
2014-07-01 09:00:00,101.518,101.574,101.588,101.514,101.529,101.587,101.599,101.528,4563
2014-07-01 11:00:00,101.574,101.499,101.577,101.494,101.587,101.513,101.588,101.508,6085
2014-07-01 13:00:00,101.499,101.521,101.562,101.444,101.513,101.533,101.576,101.454,11172
2014-07-01 15:00:00,101.521,101.521,101.53,101.47,101.533,101.535,101.542,101.483,6107
2014-07-01 17:00:00,101.521,101.51,101.554,101.508,101.535,101.522,101.567,101.521,4721
2014-07-01 19:00:00,101.51,101.512,101.551,101.507,101.522,101.531,101.564,101.52,3863
2014-07-01 21:00:00,101.512,101.536,101.555,101.511,101.531,101.551,101.571,101.527,3458
2014-07-01 23:00:00,101.536,101.59,101.61,101.532,101.551,101.603,101.622,101.547,4918
2014-07-02 01:00:00,101.59,101.599,101.646,101.564,101.603,101.612,101.658,101.579,3584
2014-07-02 03:00:00,101.599,101.594,101.62,101.57,101.612,101.606,101.631,101.584,1966
2014-07-02 05:00:00,101.594,101.521,101.611,101.502,101.606,101.534,101.625,101.515,3546
2014-07-02 07:00:00,101.521,101.469,101.521,101.458,101.534,101.481,101.534,101.472,6145
2014-07-02 09:00:00,101.469,101.452,101.47,101.404,101.481,101.465,101.483,101.416,5030
2014-07-02 11:00:00,101.452,101.698,101.736,101.449,101.465,101.711,101.746,101.463,13530
2014-07-02 13:00:00,101.698,101.754,101.78,101.685,101.711,101.767,101.792,101.693,11575
2014-07-02 15:00:00,101.754,101.792,101.836,101.735,101.767,101.805,101.849,101.749,5859
2014-07-02 17:00:00,101.792,101.818,101.836,101.773,101.805,101.831,101.849,101.785,3708
2014-07-02 19:00:00,101.818,101.758,101.821,101.749,101.831,101.787,101.834,101.763,3056
2014-07-02 21:00:00,101.758,101.766,101.798,101.756,101.787,101.779,101.821,101.771,4130
2014-07-02 23:00:00,101.766,101.846,101.847,101.762,101.779,101.859,101.86,101.773,5133
2014-07-03 01:00:00,101.846,101.878,101.941,101.844,101.859,101.89,101.949,101.857,6768
2014-07-03 03:00:00,101.878,101.864,101.882,101.81,101.89,101.878,101.893,101.822,2104
2014-07-03 05:00:00,101.864,101.886,101.903,101.851,101.878,101.897,101.914,101.863,4625
2014-07-03 07:00:00,101.886,101.936,101.949,101.866,101.897,101.949,101.962,101.879,7315
2014-07-03 09:00:00,101.936,101.864,101.95,101.858,101.949,101.876,101.964,101.865,4433
2014-07-03 11:00:00,101.864,102.188,102.227,101.865,101.876,102.202,102.245,101.876,18764
2014-07-03 13:00:00,102.188,102.179,102.261,102.116,102.202,102.193,102.276,102.128,18131
2014-07-03 15:00:00,102.179,102.197,102.223,102.162,102.193,102.21,102.233,102.175,7341
2014-07-03 17:00:00,102.197,102.19,102.209,102.187,102.21,102.202,102.222,102.198,2282
2014-07-03 19:00:00,102.19,102.18,102.2,102.17,102.202,102.201,102.213,102.183,2155
2014-07-03 21:00:00,102.18,102.209,102.216,102.176,102.201,102.223,102.243,102.198,3199
2014-07-03 23:00:00,102.209,102.148,102.216,102.117,102.223,102.161,102.226,102.129,4388
2014-07-04 01:00:00,102.148,102.134,102.165,102.115,102.161,102.147,102.179,102.129,2863
2014-07-04 03:00:00,102.134,102.054,102.134,102.05,102.147,102.066,102.146,102.064,2607
2014-07-04 05:00:00,102.054,102.076,102.076,102.002,102.066,102.088,102.089,102.015,4409
2014-07-04 07:00:00,102.076,102.049,102.078,101.966,102.088,102.063,102.092,101.979,5015
2014-07-04 09:00:00,102.049,102.055,102.068,102.032,102.063,102.068,102.081,102.044,2575
2014-07-04 11:00:00,102.055,102.054,102.07,102.041,102.068,102.066,102.082,102.053,2430
2014-07-04 13:00:00,102.054,102.061,102.089,102.044,102.066,102.073,102.104,102.056,3276
2014-07-04 15:00:00,102.061,102.07,102.084,102.04,102.073,102.083,102.097,102.054,3578
2014-07-04 17:00:00,102.07,102.052,102.084,102.042,102.083,102.067,102.096,102.059,1866
2014-07-04 19:00:00,102.052,102.034,102.081,102.034,102.067,102.106,102.118,102.059,2423
2014-07-06 19:00:00,102.034,102.054,102.056,101.975,102.106,102.083,102.113,102.032,153
2014-07-06 21:00:00,102.054,102.115,102.132,102.02,102.083,102.13,102.146,102.07,3103
2014-07-06 23:00:00,102.115,102.158,102.195,102.092,102.13,102.17,102.208,102.106,3338
2014-07-07 01:00:00,102.158,102.143,102.175,102.138,102.17,102.157,102.189,102.152,2056
2014-07-07 03:00:00,102.143,102.108,102.145,102.105,102.157,102.122,102.159,102.117,1237
