date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2014-06-22 23:00:00,6.12917,6.12858,6.13565,6.12882,6.13277,6.13153,6.13933,6.1318,497
2014-06-23 01:00:00,6.13214,6.12279,6.1346,6.1215,6.13512,6.12559,6.13771,6.12463,1317
2014-06-23 03:00:00,6.12279,6.12166,6.12577,6.12093,6.12559,6.12496,6.1303,6.12398,558
2014-06-23 05:00:00,6.12166,6.1173,6.12271,6.10858,6.12496,6.11896,6.1269,6.11041,3760
2014-06-23 07:00:00,6.1173,6.1282,6.13261,6.11669,6.11896,6.1295,6.1338,6.11896,6601
2014-06-23 09:00:00,6.1282,6.1341,6.13725,6.1256,6.1295,6.1349,6.1386,6.1265,3802
2014-06-23 11:00:00,6.1341,6.1199,6.13453,6.1178,6.1349,6.12061,6.13576,6.1185,5023
2014-06-23 13:00:00,6.1199,6.11797,6.1292,6.11731,6.12061,6.1188,6.13023,6.118,7797
2014-06-23 15:00:00,6.11797,6.1147,6.1233,6.1118,6.1188,6.11539,6.12379,6.11306,3795
2014-06-23 17:00:00,6.1147,6.11099,6.1152,6.11066,6.11539,6.1121,6.1157,6.11142,1274
2014-06-23 19:00:00,6.11099,6.10721,6.11184,6.10714,6.1121,6.11559,6.11559,6.1088,880
2014-06-23 21:00:00,6.10721,6.10814,6.10897,6.10415,6.11559,6.1114,6.11782,6.11047,187
2014-06-23 23:00:00,6.10814,6.10945,6.11105,6.1075,6.1114,6.11195,6.1133,6.10946,315
2014-06-24 01:00:00,6.10945,6.11105,6.11105,6.1075,6.11195,6.11281,6.1139,6.11001,513
2014-06-24 03:00:00,6.11105,6.10995,6.11116,6.109,6.11281,6.11177,6.11308,6.11097,251
2014-06-24 05:00:00,6.10995,6.10528,6.111,6.1036,6.11177,6.10673,6.113,6.1051,2192
2014-06-24 07:00:00,6.10528,6.1034,6.11296,6.1022,6.10673,6.1048,6.1144,6.1034,6608
2014-06-24 09:00:00,6.1034,6.098,6.1039,6.0901,6.1048,6.09909,6.10505,6.09107,5371
2014-06-24 11:00:00,6.098,6.1047,6.1056,6.0883,6.09909,6.1059,6.1067,6.08958,5581
2014-06-24 13:00:00,6.1047,6.11986,6.1223,6.0997,6.1059,6.12129,6.12308,6.10014,7458
2014-06-24 15:00:00,6.11986,6.11627,6.12333,6.1157,6.12129,6.117,6.12469,6.1165,4472
2014-06-24 17:00:00,6.11627,6.11095,6.11818,6.10568,6.117,6.1117,6.11926,6.1069,4901
2014-06-24 19:00:00,6.11095,6.10732,6.11428,6.10684,6.1117,6.11795,6.11795,6.1097,2016
2014-06-24 21:00:00,6.10732,6.11058,6.11242,6.10612,6.11795,6.11383,6.11966,6.11247,350
2014-06-24 23:00:00,6.11058,6.10952,6.11181,6.10608,6.11383,6.11247,6.1166,6.11,696
2014-06-25 01:00:00,6.10952,6.11102,6.11131,6.109,6.11247,6.11397,6.1157,6.11247,147
2014-06-25 03:00:00,6.11102,6.10994,6.11144,6.10724,6.11397,6.11175,6.1152,6.11002,334
2014-06-25 05:00:00,6.10994,6.11069,6.11397,6.10483,6.11175,6.11132,6.1151,6.1076,4209
2014-06-25 07:00:00,6.11069,6.1344,6.13705,6.11044,6.11132,6.13495,6.1382,6.11112,5375
2014-06-25 09:00:00,6.1344,6.1447,6.1457,6.13257,6.13495,6.14584,6.14685,6.13383,4218
2014-06-25 11:00:00,6.1447,6.1352,6.1478,6.1217,6.14584,6.1366,6.14879,6.1225,9963
2014-06-25 13:00:00,6.1352,6.14618,6.1492,6.13178,6.1366,6.1469,6.1498,6.133,9093
