date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2014-06-22 23:00:00,6.72519,6.72149,6.72858,6.72213,6.72817,6.72329,6.73003,6.72388,344
2014-06-23 01:00:00,6.72449,6.71414,6.72573,6.71355,6.7263,6.71594,6.72753,6.71536,543
2014-06-23 03:00:00,6.71414,6.71741,6.71885,6.71365,6.71594,6.7192,6.72066,6.71535,499
2014-06-23 05:00:00,6.71741,6.70936,6.71823,6.7,6.7192,6.71092,6.71945,6.7023,2576
2014-06-23 07:00:00,6.70936,6.707,6.72228,6.70073,6.71092,6.70806,6.7346,6.70218,6364
2014-06-23 09:00:00,6.707,6.7234,6.72991,6.70539,6.70806,6.7245,6.73124,6.70632,4321
2014-06-23 11:00:00,6.7234,6.7135,6.7253,6.7108,6.7245,6.7137,6.72581,6.7113,6101
2014-06-23 13:00:00,6.7135,6.7032,6.7138,6.7032,6.7137,6.7042,6.7141,6.7036,7828
2014-06-23 15:00:00,6.7032,6.7,6.7066,6.69658,6.7042,6.7007,6.70769,6.6974,4608
2014-06-23 17:00:00,6.7,6.69727,6.7005,6.69344,6.7007,6.6982,6.7012,6.6937,1704
2014-06-23 19:00:00,6.69727,6.69088,6.69774,6.69088,6.6982,6.69863,6.6994,6.6928,1500
2014-06-23 21:00:00,6.69088,6.6948,6.69606,6.6875,6.69863,6.6981,6.7092,6.69458,1107
2014-06-23 23:00:00,6.6948,6.69803,6.70039,6.69447,6.6981,6.69986,6.70218,6.6971,208
2014-06-24 01:00:00,6.69803,6.69839,6.6993,6.69623,6.69986,6.70022,6.70128,6.69806,112
2014-06-24 03:00:00,6.69839,6.69977,6.70123,6.69812,6.70022,6.70155,6.70301,6.69995,166
2014-06-24 05:00:00,6.69977,6.695,6.7082,6.69372,6.70155,6.69573,6.7098,6.69506,2334
2014-06-24 07:00:00,6.695,6.70645,6.70807,6.6937,6.69573,6.70659,6.7094,6.6949,5847
2014-06-24 09:00:00,6.70645,6.7126,6.7133,6.69763,6.70659,6.7136,6.714,6.6986,5896
2014-06-24 11:00:00,6.7126,6.7195,6.72356,6.7086,6.7136,6.7207,6.7246,6.7096,4366
2014-06-24 13:00:00,6.7195,6.73275,6.734,6.7114,6.7207,6.73295,6.73496,6.7124,6442
2014-06-24 15:00:00,6.73275,6.7291,6.7354,6.72716,6.73295,6.7298,6.7364,6.7276,4924
2014-06-24 17:00:00,6.7291,6.72417,6.729,6.71403,6.7298,6.72597,6.7298,6.7155,4112
2014-06-24 19:00:00,6.72417,6.72177,6.72659,6.72166,6.72597,6.72947,6.72947,6.7238,1136
2014-06-24 21:00:00,6.72177,6.72482,6.72639,6.71893,6.72947,6.72813,6.73045,6.72606,548
2014-06-24 23:00:00,6.72482,6.72332,6.72671,6.7216,6.72813,6.72516,6.72919,6.72486,814
2014-06-25 01:00:00,6.72332,6.72384,6.72384,6.72062,6.72516,6.72567,6.72641,6.72246,107
2014-06-25 03:00:00,6.72384,6.72422,6.7245,6.72185,6.72567,6.72601,6.72634,6.72369,158
2014-06-25 05:00:00,6.72422,6.72063,6.7258,6.71996,6.72601,6.7217,6.72738,6.7212,2485
2014-06-25 07:00:00,6.72063,6.73433,6.74176,6.72043,6.7217,6.7356,6.7426,6.7216,4897
2014-06-25 09:00:00,6.73433,6.7412,6.74523,6.73143,6.7356,6.7425,6.7456,6.7323,3800
2014-06-25 11:00:00,6.7412,6.7256,6.7469,6.71542,6.7425,6.72628,6.7479,6.7161,9993
2014-06-25 13:00:00,6.7256,6.73588,6.738,6.7224,6.72628,6.73697,6.73896,6.72336,9547
2014-06-25 15:00:00,6.73588,6.7303,6.7383,6.72461,6.73697,6.73075,6.73891,6.7256,6531
2014-06-25 17:00:00,6.7303,6.7355,6.7368,6.72585,6.73075,6.7363,6.7382,6.7263,4291
2014-06-25 19:00:00,6.7355,6.73066,6.7357,6.72982,6.7363,6.73836,6.73836,6.7309,1705
2014-06-25 21:00:00,6.73066,6.72933,6.73368,6.72756,6.73836,6.73264,6.74489,6.73241,1069
2014-06-25 23:00:00,6.72933,6.73277,6.73485,6.72996,6.73264,6.73455,6.73695,6.73326,535
2014-06-26 01:00:00,6.73277,6.73438,6.73747,6.7326,6.73455,6.73622,6.73905,6.73439,265
2014-06-26 03:00:00,6.73438,6.73573,6.73597,6.7318,6.73622,6.73751,6.73776,6.73428,107
2014-06-26 05:00:00,6.73573,6.73495,6.73937,6.7265,6.73751,6.73626,6.7415,6.7277,3461
2014-06-26 07:00:00,6.73495,6.72913,6.73642,6.71884,6.73626,6.7299,6.7378,6.72395,7418
2014-06-26 09:00:00,6.72913,6.7405,6.7408,6.72836,6.7299,6.74164,6.7418,6.7294,5872
2014-06-26 11:00:00,6.7405,6.75852,6.759,6.73799,6.74164,6.75954,6.76027,6.7391,8909
2014-06-26 13:00:00,6.75852,6.7554,6.76701,6.74536,6.75954,6.75629,6.7681,6.74623,12141
2014-06-26 15:00:00,6.7554,6.7444,6.7558,6.7373,6.75629,6.74481,6.75661,6.73819,6444
2014-06-26 17:00:00,6.7444,6.73895,6.7456,6.73812,6.74481,6.7403,6.74605,6.739,2577
2014-06-26 19:00:00,6.73895,6.7339,6.7407,6.73366,6.7403,6.74329,6.74457,6.7369,907
2014-06-26 21:00:00,6.7339,6.73536,6.73752,6.73244,6.74329,6.73867,6.74391,6.73638,732
2014-06-26 23:00:00,6.73536,6.7338,6.73928,6.7338,6.73867,6.7386,6.7447,6.73741,561
2014-06-27 01:00:00,6.7338,6.73811,6.73836,6.7333,6.7386,6.73989,6.741,6.73604,254
2014-06-27 03:00:00,6.73811,6.73296,6.73811,6.73155,6.73989,6.73475,6.73984,6.73394,341
2014-06-27 05:00:00,6.73296,6.72875,6.73618,6.72714,6.73475,6.7302,6.73796,6.72836,2783
2014-06-27 07:00:00,6.72875,6.75141,6.76257,6.7286,6.7302,6.75269,6.7635,6.7296,8051
2014-06-27 09:00:00,6.75141,6.75746,6.76739,6.74999,6.75269,6.7585,6.7689,6.75143,4957
2014-06-27 11:00:00,6.75746,6.74467,6.75763,6.74248,6.7585,6.74583,6.75881,6.7436,4985
2014-06-27 13:00:00,6.74467,6.73534,6.7493,6.73438,6.74583,6.73645,6.7505,6.7355,6262
2014-06-27 15:00:00,6.73534,6.73125,6.7416,6.72975,6.73645,6.73268,6.74288,6.7311,4079
2014-06-27 17:00:00,6.73125,6.73683,6.7398,6.73018,6.73268,6.7388,6.7413,6.7317,2302
2014-06-27 19:00:00,6.73683,6.72644,6.73683,6.72586,6.7388,6.7411,6.7412,6.7286,2082
2014-06-29 19:00:00,6.72644,6.73626,6.73637,6.72753,6.7411,6.74173,6.74782,6.73991,115
2014-06-29 21:00:00,6.73626,6.7357,6.7412,6.72899,6.74173,6.7411,6.74971,6.73954,686
