,price,fast,slow,ema_side,average,upper_band,lower_band,standard_deviation,bb_side,%K,%D,so_side,CCI,wr,wr_side,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ic_side,RSI,rsi_side,T-1,T-2,T-12,Autocor_1_lag,Autocor_2_lag,Autocor_4_lag,Autocor_6_lag,T-1_1per_rtn,T-2_1per_rtn,T-12_1per_rtn,T-1_rtn,T-2_rtn,T-12_rtn,ir_d1,Friday,Monday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September,EOM,senkou_span_a_frdif,fast_frdif,senkou_span_b_frdif,slow_frdif,upper_band_frdif,price_frdif,tenka_sen_frdif,kijun_sen_frdif,average_frdif,lower_band_frdif,volatility,ret,bin
2015-09-03 11:00:00,0.92933,0.9308865234407688,0.9316068503665,-1.0,0.9305822500000003,0.935039492953887,0.9261250070461136,0.0022286214769433625,1.0,27.455765710799113,36.19105854376527,1.0,-14.166375010166055,79.08309455587364,1.0,0.93136,0.93584,0.946075,0.954305,0.9454750000000001,-1.0,39.105267272065404,0.0,0.930795,0.930535,0.92836,0.4943375161200009,0.17897322584035794,-0.3390463608440312,-0.22097893013899722,0.00027937012962889196,-0.0006714311672751799,-0.002152019423973958,-0.0015751632851618473,-0.0012957931555329057,0.0010443078104044132,1.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04616181015773496,0.04323767926490857,0.04861085278553395,0.04314200012576386,0.040350694510468466,0.042142370210840385,0.04378964656874729,0.04405877469170849,0.04221912858431537,0.04408756265816233,0.0063928039975329415,-0.008317820365209339,-1.0
2015-09-04 01:00:00,0.9216,0.9263441734324307,0.9286634198559491,-1.0,0.9292792500000002,0.9353748297714397,0.9231836702285607,0.0030477898857197523,1.0,0.0,8.458709461718696,1.0,-109.75099953908179,100.0,-1.0,0.928225,0.92886,0.9411125,0.94721,0.934795,-1.0,25.05896865503719,1.0,0.925475,0.9268149999999999,0.92787,0.6878783098402552,0.5206787825743179,-0.09786509643797735,-0.48184676478256394,-0.0014468579258783976,0.002089977781806529,-0.0016906174779075522,-0.00419582928136753,-0.005642687207245856,-0.0067803468246880995,1.4699999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04236997236224782,0.04067229166514974,0.04224130183988978,0.041678924216103086,0.042644914360738584,0.03754974819914603,0.04168765513776679,0.04001789497330982,0.04221779617995275,0.041790677999167025,0.0063927747485519855,0.008062065972222365,1.0
2015-09-04 11:00:00,0.9172849999999999,0.9229701200418068,0.9260668906456847,-1.0,0.9280400000000002,0.9366744351291788,0.9194055648708216,0.004317217564589289,1.0,0.0,6.61635220125768,1.0,-166.54085128621284,100.0,-1.0,0.92404,0.9260674999999999,0.9408412500000001,0.94701,0.935275,-1.0,22.1811611744004,1.0,0.9232549999999999,0.922575,0.9335450000000001,0.8308371835720797,0.7637447549422071,0.45226642557378943,0.09403288890161403,0.0007367959462815515,0.001057383481331678,0.0011039303179982696,-0.0064872493257155505,-0.005750453379433994,-0.01757094745395416,1.4699999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.044249250266098994,0.03937908664705425,0.04532834354498305,0.0406970409277978,0.04395775893958692,0.03534163914405336,0.039601387442218694,0.039312727210826515,0.04187011027114812,0.03978246160270921,0.006451759612786661,0.008339828951743566,1.0
2015-09-07 09:00:00,0.9220200000000001,0.9204264189167135,0.9221877437677477,-1.0,0.9243895000000002,0.9353582268632247,0.9134207731367757,0.005484363431612254,1.0,26.957016794763117,18.189581554227406,1.0,-33.16049849206954,50.31479538299961,-1.0,0.9202699999999999,0.9260674999999999,0.93455,0.9418825,0.92836,-1.0,50.4460003409495,0.0,0.92001,0.91941,0.9268149999999999,0.9081988619234282,0.8838357579397026,0.7749823423854452,0.7034795976933906,0.0006523795775624924,-0.00028275007257132223,0.002089977781806529,0.00218237574606604,0.002834755323628383,-0.005187061853576617,1.4699999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0425897771759875,0.04114581168528969,0.044363398208930704,0.040867820908561725,0.04269323192756136,0.043486167690305944,0.04045097822714572,0.04212827635280919,0.04112149362684314,0.03954975532612498,0.006424899457865706,0.007602871955055157,1.0
2015-09-08 07:00:00,0.92599,0.9238163731421594,0.9232545954571985,1.0,0.9219940000000003,0.9277868668204997,0.9162011331795009,0.0028964334102496913,1.0,91.34312696747156,72.11215569299674,1.0,51.98911038903501,0.0,1.0,0.9227,0.9260674999999999,0.93368875,0.9417774999999999,0.932515,-1.0,67.33055180478746,0.0,0.9255200000000001,0.9249350000000001,0.919375,0.7380339067945781,0.5517014561471969,0.005385707903655616,-0.49044470999219564,0.0006322769475497064,0.0023651228629759796,0.002275871312177588,0.000507693731165577,0.0011399706787153425,0.0071693440960971236,1.48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04359890515865272,0.043927356953762764,0.04523007951484859,0.04274422371033293,0.03980502900087729,0.04513145660678103,0.0431513104829076,0.04283387917492465,0.04118417957216397,0.042563330143450484,0.006797343174885639,0.010270089309819763,1.0
2015-09-09 03:00:00,0.930355,0.9276959459702586,0.9258328850051618,1.0,0.9229800000000002,0.9309168495009065,0.915043150499094,0.0039684247504531275,-1.0,100.0,99.99999999999977,1.0,93.41813800233844,0.0,1.0,0.9265525,0.92382,0.93381875,0.9379824999999999,0.930795,-1.0,79.30411048002523,-1.0,0.92961,0.92903,0.92001,0.8907422170637523,0.8935637917230744,0.7729718205840489,0.7271984168247455,0.0006241122743797928,0.0025758904562912105,0.0006523795775624924,0.0008010903859391404,0.0014252026603190492,0.01118169419147055,1.4899999999999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04404296262915047,0.04598255913656224,0.043159226278420226,0.04454102540791083,0.04393055081382069,0.04716833924517477,0.045411203825604096,0.0420405257296696,0.0427980034553167,0.04166545609681238,0.006978680625826189,0.007163932047444144,1.0
2015-09-09 13:00:00,0.926935,0.9288113365812029,0.9271594424936926,1.0,0.9244900000000003,0.9333044824011413,0.9156755175988592,0.004407241200570493,-1.0,64.0657084188906,88.02190280629664,1.0,32.92995818096997,47.42547425474276,1.0,0.9288075,0.924735,0.9312725,0.9367675,0.9268149999999999,-1.0,48.27393292596734,0.0,0.932185,0.930995,0.9219949999999999,0.9333164891877453,0.9186822496902549,0.8872852652999137,0.889466634124667,0.0012773861482108934,0.0006876729526644615,0.0009549078100264258,-0.005647848396500976,-0.004370462248290093,0.005343643896678324,1.4899999999999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.042415045581641775,0.045570012269359805,0.04346087399741205,0.04487496200426494,0.04490627001034325,0.04209333568877183,0.04602273966517867,0.04310902496148239,0.04385276856684883,0.04279926712335458,0.006961977956134742,0.009240130106210387,1.0
2015-09-10 07:00:00,0.9318850000000001,0.9295399412004222,0.9282899839780121,1.0,0.9270887500000002,0.9336940757868186,0.9204834242131819,0.0033026628934091757,-1.0,97.28997289972932,82.71479977913405,1.0,80.37428399961141,4.441154700221525,1.0,0.9294,0.92488,0.92505375,0.9327924999999999,0.9172849999999999,0.0,64.14386111228652,0.0,0.9298850000000001,0.92832,0.92543,0.8308889140540869,0.7692375126002106,0.5229545086645463,0.4575034192349945,0.001684421654261109,0.001838339866539515,-0.0006049410907064262,0.002148493927109802,0.00383291558137088,0.006950922153317507,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03945705732652255,0.04616553649904559,0.04138164641546216,0.04546392511306979,0.044836738720959,0.0481151511690886,0.045697249207410306,0.043482575808943325,0.045274832373514984,0.04571292602607058,0.006665093276226378,0.007876508367448576,1.0
2015-09-10 19:00:00,0.93702,0.9342414704215846,0.9318617791967303,1.0,0.9303397500000001,0.9375404169656351,0.9231390830343652,0.0036003334828174738,-1.0,100.0,95.79424640400244,-1.0,86.29726875490692,0.0,1.0,0.9318175,0.928515,0.9231687499999999,0.9327924999999999,0.91941,-1.0,71.82800539678921,-1.0,0.93425,0.935595,0.930995,0.8252984413597193,0.7447522101339097,0.2411770845378103,-0.06259568307032073,-0.0014386221659777876,0.00013361374424286643,0.0006876729526644615,0.0029605583622160214,0.0015219361962383684,0.006450720034444298,1.4800000000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04057899600569992,0.04835870523700009,0.04334955359682391,0.047235235561572,0.04707183418938732,0.050036238836207336,0.0469726091474052,0.04589671915068283,0.04670660960045947,0.04634138501153173,0.006688861084927968,0.007182344026808396,1.0
2015-09-11 13:00:00,0.939225,0.9361612773284511,0.9342644870785377,1.0,0.9330175000000004,0.9400379739868455,0.9259970260131553,0.0035102369934225776,-1.0,100.0,88.53115489348038,-1.0,84.39722097592033,0.0,1.0,0.9363325,0.9323275,0.923675,0.9327924999999999,0.9249350000000001,-1.0,71.09584137444524,-1.0,0.937415,0.9334399999999999,0.9298850000000001,0.7880609033866396,0.6539813138764563,0.412693091485809,0.18747392460350057,0.0042494003880720055,-0.0007978047407971867,0.001684421654261109,0.0019289800507773542,0.006178380438849347,0.009994144530905563,1.4800000000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04253155403460701,0.04866749962935918,0.04401836075038584,0.04787048210828393,0.04789726345036116,0.05079371653088366,0.048911838079389536,0.0477665640233802,0.04742809940116649,0.04695893535197182,0.006618670208548728,0.009390721073225361,1.0
