,price,fast,slow,ema_side,average,upper_band,lower_band,standard_deviation,bb_side,%K,%D,so_side,CCI,wr,wr_side,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ic_side,RSI,rsi_side,T-1,T-2,T-12,Autocor_1_lag,Autocor_2_lag,Autocor_4_lag,Autocor_6_lag,T-1_1per_rtn,T-2_1per_rtn,T-12_1per_rtn,T-1_rtn,T-2_rtn,T-12_rtn,ir_d1,Friday,Monday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September,EOM,senkou_span_a_frdif,fast_frdif,senkou_span_b_frdif,slow_frdif,upper_band_frdif,price_frdif,tenka_sen_frdif,kijun_sen_frdif,average_frdif,lower_band_frdif,volatility,ret,bin
2015-08-20 13:00:00,1.119535,1.115162060405861,1.1122433657529038,1.0,1.1087867500000015,1.1195071974136257,1.0980663025863773,0.005360223706812125,-1.0,100.0,95.3613807982739,-1.0,129.29360366108452,0.0,1.0,1.112665,1.1108799999999999,1.11302375,1.1025199999999997,1.10974,1.0,75.25715063666146,-1.0,1.1155249999999999,1.117675,1.105345,0.8935524028364654,0.8529091018829918,0.6876886631908056,0.5959628022161877,-0.0019254886837378332,0.002983846444634189,-0.0011302296925454342,0.0035882744110971062,0.0016627857273591809,0.012755917090448356,-0.35553,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05976053639233586,0.061440971162683156,0.056181470524886756,0.05985656696876973,0.060636271179172474,0.06409435940470731,0.060193937080191384,0.058786056185548774,0.05790668933894949,0.055177107498726785,0.005944140159113665,0.006877855538237165,1.0
2015-08-21 01:00:00,1.1272350000000002,1.121013933175292,1.1167734426691216,1.0,1.1123525000000014,1.1269454042688,1.0977595957312027,0.0072964521343993035,-1.0,100.0,100.00000000000011,-1.0,147.9562195731889,0.0,1.0,1.1203750000000001,1.1147300000000002,1.1120675,1.1025199999999997,1.107615,1.0,85.59970115443043,-1.0,1.124255,1.120025,1.105795,0.9501700373055121,0.923006779618787,0.8652441496286642,0.8711433468313641,0.003769587581718803,0.000576045885255963,0.00028490350782310603,0.002647137442453805,0.006416725024172808,0.019203198212466424,-0.35553,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05814615347674429,0.06405682312166106,0.0561290020431221,0.06195168471518908,0.06423844613915658,0.067336777831431,0.06387343954485458,0.061050534228756725,0.05995398624936471,0.055669526359572674,0.006304634484239128,0.007851069209170891,1.0
2015-08-21 15:00:00,1.136085,1.1294549456261689,1.1243571334708382,1.0,1.1200472500000016,1.1366917206959533,1.10340277930405,0.008322235347975878,-1.0,100.0,99.19286597669729,-1.0,113.04195747204325,0.0,1.0,1.128055,1.1191550000000001,1.10866375,1.1070674999999999,1.10332,1.0,84.3877471581622,-1.0,1.13118,1.1286749999999999,1.117675,0.9515393224588925,0.9366007028240548,0.9105162362610869,0.9157312786255097,0.0022169573056549513,-0.0005491658574576785,0.002983846444634189,0.004326805779040105,0.0065437630846950975,0.016337506645720336,-0.3591,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.056635858295458474,0.06659576206369222,0.0592459694420181,0.06457340154061436,0.06689193356588508,0.0704678562101424,0.06647544049431758,0.06276437125240997,0.06323632900220577,0.059580724438526356,0.006754552485121183,0.009801203255038082,1.0
2015-08-24 01:00:00,1.14722,1.1374431468582797,1.1310095342928421,1.0,1.1262160000000017,1.1448324036805857,1.1075995963194176,0.009308201840291972,-1.0,100.0,100.00000000000011,-1.0,116.75967444152364,0.0,1.0,1.1365075,1.125455,1.107385,1.1070674999999999,1.105345,1.0,91.15116100140489,-1.0,1.13856,1.13788,1.120025,0.9586502812421388,0.9546952890138963,0.9392409891110169,0.9093404006402013,0.000597424065844232,0.0019484995465657573,0.000576045885255963,0.007577318407717473,0.008174742473561779,0.023990617976540774,-0.3591,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05636693940777748,0.0698621895711185,0.05790464684957919,0.06717577334323777,0.07039629841145745,0.0762637030287674,0.07011508082990636,0.0661419738150732,0.06543185975845195,0.06046742110544623,0.006716622840211206,0.00883875804117773,1.0
2015-08-24 11:00:00,1.15484,1.1469428366079706,1.1398760883441097,1.0,1.1346170000000015,1.1558379489419914,1.1133960510580116,0.010610474470994957,-1.0,100.0,99.92112320555323,-1.0,93.09664421883753,0.0,1.0,1.1452525,1.1335025,1.10860375,1.1079075,1.1125099999999999,1.0,90.61365780098414,-1.0,1.14912,1.147145,1.129295,0.9662317277062809,0.9515791877394771,0.9453548926502823,0.9388831359626134,0.0017201851589498662,0.0005537014208532864,0.0031040914644822615,0.004965374183739136,0.006685559342689035,0.02236826202310746,-0.36160000000000003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.058043448467298975,0.0721793350905186,0.05786200263551139,0.06977309687522948,0.07325057268644919,0.07627486404672346,0.07209164483220692,0.06866479375369033,0.06817193199564531,0.0630932913048412,0.006811118052974521,-0.011785182362924695,-1.0
2015-08-24 17:00:00,1.15997,1.1527777591939874,1.1454833951211516,1.0,1.1401805000000018,1.162332652017325,1.1180283479826787,0.011076076008661584,-1.0,100.0,96.00017856345725,-1.0,83.9252033244384,0.0,1.0,1.152755,1.1371575,1.10851625,1.11051,1.113515,-1.0,80.31457935381567,-1.0,1.1528800000000001,1.15736,1.136085,0.9554189658077517,0.9502635328065565,0.9489309568728981,0.920122046924063,-0.0038783897912284815,0.0021797430998776735,0.004326805779040169,0.0061309831669095075,0.002252593375680872,0.020806001271428735,-0.36160000000000003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0573294440660268,0.07350093656639856,0.05906432599158634,0.07128753648729347,0.07473852392772551,0.07719476605340309,0.07512097278582008,0.06836445521542522,0.06986532277399427,0.06499212162026285,0.007386815810649357,-0.008974370026811118,-1.0
2015-08-25 01:00:00,1.1532550000000001,1.1550256952849633,1.1493161514190524,1.0,1.1448072500000017,1.1667139255750094,1.122900574424994,0.010953337787503861,-1.0,76.21426588953707,87.9267277268945,-1.0,35.90885965646064,35.79035289204337,1.0,1.154485,1.1406025,1.11076375,1.1106725,1.1155249999999999,1.0,56.987593283482894,0.0,1.1573449999999998,1.1618249999999999,1.13856,0.946732998345392,0.9094911451798989,0.9322527901318403,0.8434092660538794,-0.003863455954053352,0.0015979019635205538,0.000597424065844232,-0.0035402097045718734,-0.007403665658625261,0.01282407296449548,-0.36160000000000003,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.058849648797489496,0.07154201230065493,0.05874689331228422,0.07105741005752186,0.07433099947350108,0.06662490168880209,0.0721502633135277,0.06894466607668093,0.07050615523223558,0.06668131099096969,0.007764659825267168,-0.010427008770826918,-1.0
2015-08-25 09:00:00,1.14956,1.1540049808233437,1.1507432518295602,1.0,1.1487137500000018,1.1661115320065873,1.1313159679934162,0.008698891003292766,-1.0,59.97715777451445,75.28147591981066,-1.0,3.8018479114748103,75.31470678538568,1.0,1.1556924999999998,1.14304,1.11361,1.111125,1.120025,1.0,46.23593918312877,0.0,1.1555499999999999,1.156785,1.14651,0.8974902528040436,0.8304904052072836,0.7552437803694266,0.5123666918803744,-0.0010681844260713724,0.003056226513540178,0.0008464039247912392,-0.005197160641118644,-0.006265345067189985,0.0026567149903463107,-0.36160000000000003,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06001983657498888,0.06897957859313425,0.05876966122442867,0.06989530485697537,0.07133999024254156,0.06316684543574091,0.07045440933176395,0.0691571332079311,0.07098068717624184,0.07062138410994218,0.007577679219269874,-0.010121263787883916,-1.0
2015-08-25 13:00:00,1.1412300000000002,1.1495709267131307,1.1491873334320069,1.0,1.1497815000000018,1.1644883243002604,1.1350746756997432,0.007353412150129331,-1.0,21.272935779817555,42.023476648589885,-1.0,-40.91416350595564,100.0,-1.0,1.1515275,1.14381,1.1175525000000002,1.1147300000000002,1.1272350000000002,1.0,33.04418649205377,0.0,1.14739,1.14956,1.14912,0.8267321544277322,0.6366650343505695,0.36403853711592077,-0.16926030852956014,-0.0018894626749275945,-0.005197160641118637,0.0017201851589498662,-0.005383169661744185,-0.007272632336671834,-0.006889803926128613,-0.35486,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0624619868868056,0.06510372239248163,0.06137049278341866,0.06764813850393125,0.06969383987583971,0.058017669453215626,0.06628344742913617,0.06799870363172217,0.07016563943364529,0.0706374389914513,0.007917448673942154,0.009042874792986266,1.0
2015-08-25 19:00:00,1.1515499999999999,1.147714844082102,1.1480908014983953,-1.0,1.150993250000002,1.1628042996040246,1.1391822003959793,0.005905524802011368,-1.0,50.109249817916066,28.486238281181954,-1.0,2.9459893139981768,49.890750182083934,-1.0,1.1490075000000002,1.1452499999999999,1.1190849999999999,1.1157599999999999,1.129295,1.0,56.70936225837884,0.0,1.1424750000000001,1.142315,1.1528800000000001,0.7588256501705207,0.5164178206379758,-0.02202045581151183,-0.6242962201706056,0.00014005663563101955,0.0009502769436541825,-0.0038783897912284815,0.007911899251142432,0.008051955886773425,-0.0011542985880892342,-0.35486,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.061819378493816135,0.06577847610145104,0.06069229977105789,0.06701655586269117,0.06817568631973481,0.07176249100828108,0.06556605535316229,0.06779068277791839,0.06968361035396786,0.07119153438820064,0.008534631510214646,-0.011831878772089577,-1.0
