,price,fast,slow,ema_side,average,upper_band,lower_band,standard_deviation,bb_side,%K,%D,so_side,CCI,wr,wr_side,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ic_side,RSI,rsi_side,T-1,T-2,T-12,Autocor_1_lag,Autocor_2_lag,Autocor_4_lag,Autocor_6_lag,T-1_1per_rtn,T-2_1per_rtn,T-12_1per_rtn,T-1_rtn,T-2_rtn,T-12_rtn,ir_d1,Friday,Monday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September,EOM,senkou_span_a_frdif,fast_frdif,senkou_span_b_frdif,slow_frdif,upper_band_frdif,price_frdif,tenka_sen_frdif,kijun_sen_frdif,average_frdif,lower_band_frdif,volatility,ret,bin
2015-08-13 09:00:00,0.65754,0.6597378666587456,0.658718709345446,1.0,0.656783249999995,0.6652443411086306,0.6483221588913595,0.004230545554317767,1.0,58.923796791443635,74.84402852049891,-1.0,12.357472658102537,41.076203208556365,1.0,0.6606125,0.656205,0.6568,0.6569324999999999,0.657135,-1.0,44.99879620280934,0.0,0.66005,0.662175,0.6498550000000001,0.846362892462329,0.6120068078727139,0.3258221123220382,-0.19569741405603294,-0.0032142817289871894,0.0020029862519401753,-0.007519495194905634,-0.0038099910234127973,-0.007024272752399978,0.011756337622107725,2.6507,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.028884232951407934,0.030289690996375213,0.02788056164417685,0.03018028275605139,0.030410836663958246,0.027655898339682905,0.03223740107662071,0.02894107798089557,0.02933481630367346,0.02825879594338848,0.008395772933008633,-0.0014904036256349062,0.0
2015-08-14 01:00:00,0.652195,0.655630107371637,0.656734149897699,-1.0,0.657059499999995,0.6653534887266956,0.6487655112732944,0.004146994363350304,1.0,23.195187165775092,36.775846702317274,-1.0,-89.7849853091416,100.0,-1.0,0.6571849999999999,0.656205,0.6570175,0.6569324999999999,0.655335,1.0,29.197673177294078,1.0,0.65489,0.655595,0.66327,0.836413878712628,0.5724179580375384,-0.025961641879491296,-0.7145334367499611,-0.0010759376383728259,-0.0024299497401737424,0.0065800160264564145,-0.004123685634813054,-0.005199623273185892,-0.016838550139418155,2.6195,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.028801063425962142,0.027730827741932473,0.0281811040415704,0.02865535051907045,0.03028376757275167,0.025303262975759522,0.028457010701719188,0.029038353942729078,0.029350188433471508,0.028416609294191486,0.008482316408575035,0.008755050253375085,1.0
2015-08-17 11:00:00,0.65682,0.6549587768794897,0.6551865357945775,-1.0,0.655869499999995,0.6610307449078261,0.6507082550921639,0.0025806224539155573,1.0,46.342685370741435,30.124783945611444,1.0,24.419695042986763,7.407407407407078,1.0,0.6549024999999999,0.65794,0.65386625,0.655535,0.6524650000000001,-1.0,60.908112754111514,0.0,0.655065,0.65395,0.655595,0.8505884183281001,0.6283746914037284,0.46918473983673076,0.3670771212500148,0.001703571417682126,0.001476737826087926,-0.0024299497401737424,0.002675540991677316,0.004379112409359453,0.0018667881055151301,2.56715,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.027300030040315892,0.029215116528150065,0.027931393517922343,0.02889000915580403,0.027547409095142056,0.031085089998320048,0.029339670200462742,0.03033244712343597,0.02863457714814016,0.029721745201138294,0.008062010856611231,0.008670564233732136,1.0
2015-08-19 17:00:00,0.6620250000000001,0.6586975361429511,0.6581557428603804,1.0,0.658076249999995,0.6607257874593755,0.6554267125406146,0.0013247687296902495,-1.0,100.0,59.908748775584,-1.0,134.30951135813925,0.0,1.0,0.6587475,0.657505,0.6554487499999999,0.656205,0.65418,-1.0,66.84958684909753,0.0,0.65547,0.657995,0.65916,-0.18836124312841898,-0.2512231831221721,-0.1532042084151596,0.02193320407396991,-0.003844796946208595,-0.0017310368523478226,-0.0007506739356845094,0.0099507840083633,0.006105987062154574,0.004337022431877018,2.58665,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.028395696648110397,0.03095269697913916,0.02882480082309269,0.03051740088288038,0.029642849456632953,0.03498120811594169,0.031211221601955497,0.030691999979786333,0.03055838335443284,0.03147391725223264,0.007374100942637994,0.008896944979419175,1.0
2015-08-21 07:00:00,0.6630199999999999,0.6622097850822276,0.6614342467950013,1.0,0.6607777499999951,0.6647546161969796,0.6568008838030105,0.0019884330984922672,-1.0,100.0,92.57786613651534,-1.0,70.58342088387019,0.0,1.0,0.66195,0.659245,0.65718,0.656205,0.65786,1.0,61.042053360049195,0.0,0.66182,0.6625300000000001,0.660755,0.4711137832909216,0.38860789404462487,0.2316618387998937,0.20359398926318814,-0.0010722242126657289,0.001177998746789588,-0.00014376458951587123,0.0018115400020646895,0.0007393157893989953,0.0034220350290996354,2.5809,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.029874305622342834,0.03181895844004862,0.029104946432067735,0.031595768976795224,0.03125273437781895,0.03245154495312935,0.03246863889186363,0.03060699812044923,0.03141764092770871,0.031582547477598394,0.0066978898244546585,0.007382884377545418,1.0
2015-08-21 09:00:00,0.667915,0.6636360888116707,0.6622443409456261,1.0,0.661272249999995,0.6661209492842081,0.656423550715782,0.0024243496421065412,-1.0,100.0,94.72056549591385,-1.0,184.08363470075724,0.0,1.0,0.6648325,0.6616925,0.6570162500000001,0.656205,0.65656,1.0,77.4334041971321,-1.0,0.6630199999999999,0.66182,0.66143,0.48707326691897673,0.315222536929631,0.28269758138772516,0.37429263775388827,0.0018115400020646821,-0.0010722242126657289,0.001021037235548028,0.007355764287867957,0.009167304289932498,0.009756762081419448,2.5809,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02968580267558285,0.03310201201260138,0.029122210281039757,0.03226519444597914,0.032466580999890915,0.03695117273025911,0.03484619366031283,0.03303737365039891,0.03176747747087061,0.031068373941850358,0.0069207089291320936,-0.0089756930148297,-1.0
2015-08-23 23:00:00,0.6619200000000001,0.6659586275207382,0.6646209595725446,1.0,0.6633909999999951,0.6698883914764857,0.6568936085235044,0.0032486957382453397,-1.0,30.574806359560323,72.19730941704101,-1.0,-30.432449556031393,98.04260218767983,-1.0,0.6661275,0.6629525,0.6570162500000001,0.656205,0.658485,1.0,40.00561448243314,0.0,0.66872,0.6704349999999999,0.66255,0.7552405611442656,0.5506202836749939,0.3032822682950257,0.4110369828362084,-0.002561318051432726,0.002269758692741708,5.282759714908547e-05,-0.010220734677799142,-0.012782052729231951,-0.0009513239975436937,2.5909,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02974238561283321,0.03254541844244088,0.02920616343280763,0.0326119618341385,0.03336556230223117,0.027075540437296874,0.03334635959290602,0.03217679416068958,0.03240188432276969,0.03143820634330824,0.007387409428748529,-0.008754834421078272,-1.0
2015-08-24 11:00:00,0.656125,0.6600514077026751,0.6615995880900806,-1.0,0.6629212499999951,0.6704173055459982,0.655425194453992,0.00374802777300156,-1.0,0.0,6.943878244326946,1.0,-117.70194369472688,100.0,-1.0,0.6632799999999999,0.6632799999999999,0.65812625,0.656205,0.6620250000000001,1.0,28.255904292516874,1.0,0.65905,0.659845,0.66182,0.7988696157843035,0.46691434579316254,-0.13228643827433662,-0.7607159157468032,-0.0012055547959242685,0.001091761103765243,-0.0010722242126657289,-0.004448084586010989,-0.005653639381935186,-0.008642296068870877,2.5884,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.030951610790870887,0.028976691862526494,0.029286379658768624,0.030318872519737528,0.03296372133521691,0.02642485228622138,0.030790367270015884,0.0316230175284829,0.03161202584524653,0.030260330355275755,0.008609300846904934,-0.00934273194894264,-1.0
2015-08-24 13:00:00,0.649995,0.6575373057770063,0.6601490145788205,-1.0,0.6623769999999951,0.671735967036947,0.6530180329630432,0.004679483518475977,1.0,0.0,2.3916292974591613,1.0,-188.62204754382918,100.0,-1.0,0.660215,0.660215,0.65812625,0.656205,0.660235,1.0,18.921374909136887,1.0,0.656125,0.65905,0.6630199999999999,0.8372529279329898,0.5371774674072382,0.10783466469464514,-0.47929658713435813,-0.004448084586010981,-0.0012055547959242685,0.0018115400020646821,-0.009386649020059293,-0.013834733606070248,-0.01984048509099476,2.5884,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.030526518137946712,0.027115781411417933,0.029302003106016605,0.029220644712032035,0.03411246961994163,0.02153305005809253,0.02816082583074231,0.028719873627245346,0.03108152172792286,0.028050573835904286,0.00938098688221036,-0.010815467811290835,-1.0
2015-08-25 09:00:00,0.65371,0.6514722482788533,0.6538092028184536,-1.0,0.6575214999999951,0.672763945702659,0.6422790542973312,0.007621222851331917,1.0,25.467914438502525,11.645870469399691,1.0,-35.638523546847786,51.772151898734556,-1.0,0.6508525000000001,0.659215,0.6596850000000001,0.65794,0.66255,1.0,50.55043206356777,0.0,0.64994,0.648175,0.659125,0.9286296062625683,0.8440365456403283,0.7744013618020704,0.7459650185509121,0.002719329316192509,-0.0059605244823455195,0.000622230336350893,0.005783777102016581,0.00850310641820907,-0.00824936981185947,2.5784000000000002,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.031109836377160166,0.027480479076646858,0.030244340590945107,0.027716497318823585,0.03278980670882259,0.031006685329831973,0.025660988250244515,0.030175122846743452,0.028835262029634212,0.02488071735044617,0.011702644325157857,-0.016436952165333252,-1.0
