,price,fast,slow,ema_side,average,upper_band,lower_band,standard_deviation,bb_side,%K,%D,so_side,CCI,wr,wr_side,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ic_side,RSI,rsi_side,T-1,T-2,T-12,Autocor_1_lag,Autocor_2_lag,Autocor_4_lag,Autocor_6_lag,T-1_1per_rtn,T-2_1per_rtn,T-12_1per_rtn,T-1_rtn,T-2_rtn,T-12_rtn,ir_d1,Friday,Monday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September,EOM,senkou_span_a_frdif,fast_frdif,senkou_span_b_frdif,slow_frdif,upper_band_frdif,price_frdif,tenka_sen_frdif,kijun_sen_frdif,average_frdif,lower_band_frdif,volatility,ret,bin
2015-10-06 13:00:00,1.3070650000000001,1.3092446375438562,1.3112865135227716,-1.0,1.312117500000002,1.3203751761262723,1.3038598238737318,0.004128838063135164,1.0,0.0,13.241483478250494,1.0,-40.35732507416648,100.0,-1.0,1.309395,1.3169,1.3328100000000003,1.333935,1.3225600000000002,-1.0,32.34511678440076,0.0,1.311725,1.30951,1.3107600000000001,0.8992503576888015,0.8759726803001435,0.8309403675094315,0.5501378048418322,0.0016900434544904197,0.0008288976327697206,-0.002080595206111646,-0.0035588992767936864,-0.0018688558223031607,-0.0028229560446648948,-0.422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.07193535536262774,0.06670930382377371,0.07492070696914838,0.06678979314577699,0.06539989362239573,0.06450849402596337,0.06663112327941717,0.06821817849919004,0.06639471135541619,0.06738952908843593,0.004786812391406554,-0.0067632443681072685,-1.0
2015-10-09 01:00:00,1.298225,1.3018430988615444,1.3033222286674089,-1.0,1.303421000000002,1.3080494636766236,1.2987925363233803,0.002314231838310755,1.0,0.0,4.487179487179225,1.0,-126.48105887725463,100.0,-1.0,1.30218,1.304975,1.31395125,1.326575,1.3084250000000002,-1.0,25.023964848163047,1.0,1.301645,1.300875,1.30612,0.7544848983570862,0.5391698981074988,0.0003192607003593506,-0.5284530605718717,0.0005917341826136568,-0.0009834693439331743,0.0010341302163708876,-0.0026309022933216374,-0.002039168110708042,-0.006062963382109014,-0.4104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.067172459638691,0.06546600950592807,0.07249819458310675,0.06613350017000247,0.06589603440776698,0.06291011240026356,0.06553446878209856,0.06600700520737363,0.06638976432151777,0.06688349423526874,0.00440699292005622,-0.004991430607175218,-1.0
2015-10-09 09:00:00,1.291745,1.2974392760822138,1.3004228016267998,-1.0,1.3023605000000018,1.3103453750150371,1.2943756249849665,0.003992437507517659,1.0,0.0,6.098825148607527e-14,1.0,-238.698742758861,100.0,-1.0,1.2986849999999999,1.29917,1.3131475,1.3261875,1.3070650000000001,-1.0,13.866603058112531,1.0,1.2947099999999998,1.29799,1.306595,0.9071222593884665,0.7788006392756609,0.4216144562369182,-0.07264942203587618,-0.0025301822423198783,-0.0001810327732039152,0.000834577591414587,-0.0022927143900072326,-0.004822896632327071,-0.011430499231690096,-0.4104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0674246508893035,0.06309540322765045,0.07223648505084301,0.06462694353615173,0.06802958880431381,0.059882739572480914,0.06384565356043609,0.06259854778073248,0.06602592885531267,0.06402226890631174,0.004615702276076225,0.00707182919229421,1.0
2015-10-12 17:00:00,1.30088,1.2964409849715473,1.2964754576125324,-1.0,1.2964897500000017,1.3039758354093025,1.2890036645907008,0.003743042704650437,1.0,69.49410422213877,44.490349822366134,1.0,59.67086054850319,0.0,1.0,1.2966000000000002,1.29917,1.30545,1.322005,1.305745,-1.0,69.26319265010785,0.0,1.2965550000000001,1.2958150000000002,1.291745,0.7613543119878463,0.6342716933521717,0.18098202803543664,-0.2852547266835336,0.000570906174735264,0.0011891480075773564,-0.0022927143900071667,0.0033302115334021506,0.003901117708137489,0.00704694107568252,-0.40925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06594315849490934,0.06699332586530271,0.07086203335843122,0.06583266209849692,0.06407725104238415,0.07112444044297106,0.06719091015808171,0.06613864030751265,0.0647455833967403,0.0654139157510964,0.004543068836352752,-0.005896008855543977,-1.0
2015-10-13 13:00:00,1.2975750000000001,1.3016958651204085,1.3003378704207416,1.0,1.2975102500000018,1.3071017892276449,1.2879187107723586,0.004795769613821544,-1.0,41.672623302360584,79.31856087681776,-1.0,0.7485051571529961,60.82743197912699,1.0,1.301145,1.29874,1.3058337500000001,1.3180200000000002,1.3048899999999999,-1.0,41.903567513197764,0.0,1.305215,1.3057349999999999,1.2923200000000001,0.7941984961502171,0.7753946666236211,0.6338261580222821,0.3489493424912692,-0.0003983224549494735,0.000996103784420499,-6.963976897877977e-05,-0.005870640307003723,-0.006268962761953195,0.004058085143709524,-0.4095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06743654257908349,0.06815295528292858,0.06822617771185957,0.06775965807920337,0.0677531524961662,0.06244468318984636,0.06876173217133619,0.06646299943477718,0.06649904385854433,0.06524493522092267,0.0053760156347166495,-0.0057453326397317594,-1.0
2015-10-14 15:00:00,1.29698,1.299696219634528,1.30017669270412,-1.0,1.3009885000000017,1.3067720318798857,1.2952049681201177,0.0028917659399420588,-1.0,11.743951612902167,36.982497599929374,-1.0,-75.62957826868828,100.0,-1.0,1.3003875,1.2990275,1.2979325,1.3077625,1.292815,-1.0,36.96069110554442,0.0,1.29948,1.30024,1.3057349999999999,0.4277390104577945,0.1650951302579186,-0.13402811492799707,-0.2533270342433628,-0.0005846783666322297,-0.0008494821937004016,0.000996103784420499,-0.0019256994311995675,-0.002510377797831735,-0.006727615602560236,-0.42295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06437022972732959,0.0667794326816607,0.06546533102020091,0.06730453482508064,0.0670599250590983,0.0645838282696658,0.06714047962133707,0.06711923571615264,0.0683512195912726,0.06964251412344741,0.005020524475107299,-0.0052892103193571405,-1.0
2015-10-15 05:00:00,1.2901200000000002,1.2944424366812373,1.2968846653277817,-1.0,1.2998192500000014,1.3087013163561803,1.2909371836438226,0.004441033178089422,1.0,0.0,0.931470392547924,-1.0,-138.40550240090977,100.0,-1.0,1.2957325000000002,1.2979275000000001,1.2966562499999998,1.30598,1.2923200000000001,-1.0,22.898028263954274,1.0,1.292695,1.2935599999999998,1.30058,0.8225838166777578,0.7024937007053245,0.6256143413455183,0.5004983513452842,-0.0006689209163473486,0.0002706077479913138,0.0001845500828023816,-0.0019939491238414675,-0.002662870040188769,-0.008075081513610527,-0.42295,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06451664805046908,0.06396130677174938,0.0658970920194456,0.06540119661355831,0.06888165008840869,0.06163628329725657,0.0646928275093025,0.0661317936178224,0.067216872469681,0.06555209485095326,0.005116583885663711,0.005797910271912565,1.0
2015-10-15 15:00:00,1.2858,1.2903906537936725,1.2935408963505872,-1.0,1.2967060000000015,1.3075977062944888,1.2858142937055141,0.005445853147243634,1.0,0.0,8.321110785176815,1.0,-149.4165769718653,100.0,-1.0,1.29139,1.2957675,1.29680375,1.3029,1.2965550000000001,-1.0,26.710235404548698,1.0,1.2887899999999999,1.292845,1.2995800000000002,0.858516396839832,0.8235372859106659,0.814971941225596,0.6559673664365272,-0.0031414226524992817,0.0032190178230148137,-0.0012227243665054455,-0.0023227009692718733,-0.0054641236217711645,-0.010660042618372284,-0.42485,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06551261758939869,0.06265304003482436,0.06488305444250264,0.06410643822003792,0.06758415514090765,0.0599826602025455,0.062461447796153535,0.06508230928171022,0.06543264069086285,0.06328112624081794,0.005335434469256939,0.0066651112148079505,1.0
2015-10-16 13:00:00,1.291845,1.2897574356971646,1.2910734591093076,-1.0,1.2927852500000014,1.303191445018121,1.2823790549818819,0.005203097509059765,1.0,43.77034625628807,35.013401889876015,1.0,-11.32298428828406,18.82546652030694,1.0,1.2886475000000002,1.2948325,1.2993725,1.3017349999999999,1.3057349999999999,-1.0,54.05843734015216,0.0,1.290085,1.29013,1.2935599999999998,0.9104133073150195,0.815098064488396,0.6512695518755734,0.43677235225096017,-3.4880814199278465e-05,0.0018154175790322524,0.0002706077479913138,0.001363321447600171,0.001328440633401065,-0.0013266782198874288,-0.42285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06727334724859313,0.0650050518414802,0.06598579975844587,0.0646257818713295,0.06498899367206618,0.06723745062014053,0.06382883293964192,0.06582019046422538,0.06444853680890927,0.06390807994575248,0.005182767659312324,0.0065990888999842845,1.0
2015-10-19 13:00:00,1.2976,1.2935100345989803,1.2925949894381799,1.0,1.2907990000000014,1.2968807839492236,1.2847172160507792,0.0030408919746111305,-1.0,100.0,84.11811652035104,-1.0,83.79440431167222,0.0,1.0,1.2938425,1.2928975,1.3001975,1.3017349999999999,1.30117,-1.0,71.0019052121362,-1.0,1.29437,1.29101,1.28445,0.7038452826027638,0.3588916891024026,0.21154801388532463,-0.22931164623994296,0.0025992325241802616,-0.0011650749810746541,-0.0010504815672755519,0.0024923140869403276,0.005091546611120668,0.010185793220837763,-0.42335,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06757733791114151,0.06776066452864293,0.06679712236101243,0.06652374370917341,0.06420269829041236,0.07111852876666247,0.06848184594616225,0.06545189334749257,0.06491627635725761,0.0656298544241028,0.005115829064459156,0.009112977805178835,1.0
